"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年3月"
"集計期間終了月","2026年3月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","15","9","8","5","0","0","5","0","1","",""
"区南部","37","11","8","15","0","0","5","0","0","",""
"区西南部","6","1","2","2","0","0","7","0","0","",""
"区西部","25","6","8","18","0","0","6","0","0","",""
"区西北部","6","1","1","1","0","0","6","0","0","",""
"区東北部","0","0","0","0","0","0","1","0","0","",""
"区東部","8","2","1","7","0","0","5","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","3","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","5","1","0","",""
"北多摩北部","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","97","30","28","48","0","0","45","1","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年3月"
"集計期間終了月","2026年3月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","14","4","7","5","1","0","0","0","0","",""
"区南部","19","7","0","5","3","0","2","0","0","",""
"区西南部","11","11","3","0","0","0","3","0","0","",""
"区西部","14","2","3","4","3","0","3","0","1","",""
"区西北部","3","1","0","1","1","0","2","0","0","",""
"区東北部","5","2","0","1","0","0","0","1","0","",""
"区東部","9","1","3","2","0","0","3","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","3","0","0","0","0","0","1","0","0","",""
"北多摩西部","13","0","0","1","0","0","0","0","0","",""
"北多摩南部","0","0","1","0","0","0","1","3","0","",""
"北多摩北部","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","91","28","17","19","8","0","16","4","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年3月"
"集計期間終了月","2026年3月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","29","13","15","10","1","0","5","0","1","10","4"
"区南部","56","18","8","20","3","0","7","0","0","3","1"
"区西南部","17","12","5","2","0","0","10","0","0","5","3"
"区西部","39","8","11","22","3","0","9","0","1","11","4"
"区西北部","9","2","1","2","1","0","8","0","0","6","2"
"区東北部","5","2","0","1","0","0","1","1","0","3","1"
"区東部","17","3","4","9","0","0","8","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","3","0","0","0","0","0","4","0","0","5","1"
"北多摩西部","13","0","0","1","0","0","0","0","0","2","1"
"北多摩南部","0","0","1","0","0","0","6","4","0","3","3"
"北多摩北部","0","0","0","0","0","0","3","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","188","58","45","67","8","0","61","5","2","55","25"


