"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年52週
"集計期間終了週",2025年52週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2841","2781","5622","418"
"新型コロナウイルス感染症（COVID-19）","137","168","305","418"
"急性呼吸器感染症（ARI）","13835","13878","27713","418"
"RSウイルス感染症","35","29","64","264"
"咽頭結膜熱","36","30","66","264"
"Ａ群溶血性レンサ球菌咽頭炎","394","297","691","264"
"感染性胃腸炎","1236","1086","2322","264"
"水痘","75","42","117","264"
"手足口病","6","1","7","264"
"伝染性紅斑","10","14","24","264"
"突発性発しん","25","28","53","264"
"ヘルパンギーナ","2","2","4","264"
"流行性耳下腺炎","8","4","12","264"
"不明発しん症","6","6","12","264"
"川崎病","1","4","5","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","6","4","10","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","2","1","3","25"
"マイコプラズマ肺炎","7","3","10","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","1","1","25"
"インフルエンザ入院","32","20","52","25"
"COVID-19入院","25","13","38","25"
