"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2026年6週
"集計期間終了週",2026年6週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","8581","7804","16385","416"
"新型コロナウイルス感染症（COVID-19）","396","453","849","416"
"急性呼吸器感染症（ARI）","21676","19864","41540","416"
"RSウイルス感染症","46","32","78","262"
"咽頭結膜熱","23","27","50","262"
"Ａ群溶血性レンサ球菌咽頭炎","285","234","519","262"
"感染性胃腸炎","2009","1747","3756","262"
"水痘","38","39","77","262"
"手足口病","3","4","7","262"
"伝染性紅斑","7","7","14","262"
"突発性発しん","19","22","41","262"
"ヘルパンギーナ","2","1","3","262"
"流行性耳下腺炎","5","2","7","262"
"不明発しん症","7","1","8","262"
"川崎病","1","3","4","262"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","2","4","6","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","7","0","7","25"
"クラミジア肺炎(オウム病は除く)","3","0","3","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","46","24","70","25"
"COVID-19入院","31","24","55","25"
