"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2026年32週"
"集計期間終了週","2026年32週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","0","47","0","0","0","4","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","",""
"中央区","0","1","72","0","0","0","5","0","9","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"みなと","1","2","131","1","1","0","2","0","7","0","0","9","0","1","0","0","0","0","0","0","0","0","1","1","","","","","","",""
"新宿区","5","2","149","1","1","0","8","1","8","0","2","2","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","",""
"文京","5","1","201","4","0","1","3","3","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"台東","2","1","190","0","0","3","22","0","17","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","4","4","61","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","","","","","","",""
"江東区","8","0","257","1","0","4","26","0","16","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"品川区","5","2","152","0","1","1","11","0","16","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"目黒区","3","0","113","3","0","1","2","0","16","0","2","3","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","9","4","322","14","2","7","32","0","35","0","2","14","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"世田谷","19","2","550","15","0","7","42","0","28","0","1","6","0","1","0","0","2","0","0","0","0","0","1","1","","","","","","",""
"渋谷区","1","3","123","0","0","1","20","2","5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"中野区","1","1","332","0","0","2","16","1","13","0","0","5","3","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"杉並","3","4","197","2","2","9","17","1","15","0","1","2","0","0","5","0","1","0","0","1","0","0","0","0","","","","","","",""
"豊島区","4","0","132","1","0","2","0","0","6","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"北区","2","2","148","0","1","2","13","0","15","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"荒川区","2","0","151","3","0","2","9","2","10","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","2","2","176","2","0","4","4","0","17","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"練馬区","8","10","315","0","0","3","28","1","28","0","1","5","1","2","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"足立","6","7","396","6","0","6","26","1","8","0","1","3","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","2","1","210","0","0","0","15","1","10","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","","","","","","",""
"江戸川","2","3","434","3","0","13","12","1","17","0","1","1","0","0","0","0","3","0","0","0","0","0","0","0","","","","","","",""
"八王子市","28","4","772","4","1","7","23","0","23","1","3","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"町田市","9","1","636","2","0","6","60","5","30","0","4","16","2","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","2","3","132","0","0","3","4","0","11","0","0","2","0","0","0","0","1","0","0","0","0","0","0","1","","","","","","",""
"南多摩","7","3","217","0","0","2","10","0","14","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","6","3","293","4","1","5","15","3","11","0","2","5","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"多摩府中","14","2","614","4","0","7","27","3","39","2","2","8","0","1","0","0","2","0","0","0","0","0","3","0","","","","","","",""
"多摩小平","9","8","661","13","11","8","52","1","40","1","3","5","0","0","1","0","1","0","0","1","0","0","1","0","","","","","","",""
"島しょ","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","170","76","8200","83","22","106","508","26","475","5","38","130","8","8","8","0","14","0","1","3","1","0","8","4","","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2026年32週"
"集計期間終了週","2026年32週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","1","46","1","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"中央区","1","0","75","2","0","0","5","0","10","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"みなと","1","2","161","4","1","0","4","0","4","0","1","8","0","3","1","0","0","0","1","0","0","0","0","1","","","","","","",""
"新宿区","4","1","131","0","0","0","7","0","8","0","1","5","0","2","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"文京","4","2","234","0","1","1","3","0","16","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"台東","1","1","211","1","1","1","18","1","30","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","4","3","39","0","1","0","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"江東区","2","0","294","2","1","0","11","0","9","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"品川区","2","2","136","1","0","2","10","0","13","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"目黒区","2","1","92","2","0","0","2","0","10","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","8","2","281","8","1","4","39","0","29","0","3","11","0","2","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"世田谷","7","5","566","10","0","2","24","2","19","0","6","6","1","1","0","0","2","1","1","1","0","0","0","0","","","","","","",""
"渋谷区","2","1","122","0","0","1","19","0","5","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"中野区","5","0","320","0","0","1","12","0","9","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"杉並","4","7","202","1","0","5","14","1","12","0","1","2","0","0","2","0","0","0","0","2","0","0","1","1","","","","","","",""
"豊島区","0","0","163","0","1","0","2","0","6","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"北区","5","2","147","0","1","3","10","0","13","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"荒川区","1","2","150","5","0","0","9","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","3","2","236","0","0","1","9","0","13","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"練馬区","7","10","405","3","1","4","25","0","40","0","2","5","0","5","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"足立","4","13","455","4","1","2","27","2","8","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","1","2","210","0","0","3","15","0","11","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","",""
"江戸川","4","8","457","3","1","15","24","0","19","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"八王子市","40","4","741","4","2","6","16","1","20","0","2","5","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"町田市","16","3","590","4","0","12","46","5","27","0","2","24","2","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","1","2","119","0","0","1","1","0","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"南多摩","2","2","201","0","0","1","4","0","11","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","16","4","258","3","0","4","10","6","9","0","1","4","1","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"多摩府中","11","6","589","10","1","4","27","1","28","0","3","7","0","1","0","0","1","0","1","0","0","0","3","2","","","","","","",""
"多摩小平","7","14","563","6","5","3","56","0","44","0","3","9","0","0","0","0","1","0","1","3","0","0","1","0","","","","","","",""
"島しょ","0","0","13","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","166","102","8207","74","19","77","451","19","448","2","35","129","5","18","3","0","8","1","4","8","0","0","5","8","","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2026年32週"
"集計期間終了週","2026年32週"
"性別","男女合計"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","2","1","93","1","0","1","6","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","4","4","3","0","2","2","2"
"中央区","1","1","147","2","0","0","10","0","19","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","1","0","0","0"
"みなと","2","4","292","5","2","0","6","0","11","0","1","17","0","4","1","0","0","0","1","0","0","0","1","2","7","7","5","0","1","1","1"
"新宿区","9","3","280","1","1","0","15","1","16","0","3","7","0","2","0","0","0","0","0","0","0","0","1","2","12","12","8","2","2","2","2"
"文京","9","3","435","4","1","2","6","3","24","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","7","7","4","1","1","1","1"
"台東","3","2","401","1","1","4","40","1","47","0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","7","7","4","0","0","0","0"
"墨田区","8","7","100","0","2","0","0","0","3","0","0","3","1","0","0","0","0","0","1","0","0","0","0","1","7","7","4","1","1","1","1"
"江東区","10","0","551","3","1","4","37","0","25","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","14","14","9","1","0","0","0"
"品川区","7","4","288","1","1","3","21","0","29","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","11","11","7","1","0","0","0"
"目黒区","5","1","205","5","0","1","4","0","26","0","3","5","0","1","0","0","0","0","0","0","0","0","0","0","8","8","5","1","0","0","0"
"大田区","17","6","603","22","3","11","71","0","64","0","5","25","0","3","0","0","0","0","0","1","0","0","0","0","20","20","12","1","1","1","1"
"世田谷","26","7","1116","25","0","9","66","2","47","0","7","12","1","2","0","0","4","1","1","1","0","0","1","1","24","24","15","2","2","2","2"
"渋谷区","3","4","245","0","0","2","39","2","10","1","1","3","0","1","0","0","0","0","0","0","0","0","0","0","7","7","4","1","1","1","1"
"中野区","6","1","652","0","0","3","28","1","22","0","0","9","4","0","0","0","0","0","0","0","0","0","0","0","10","10","6","1","0","0","0"
"杉並","7","11","399","3","2","14","31","2","27","0","2","4","0","0","7","0","1","0","0","3","0","0","1","1","17","17","11","1","2","2","2"
"豊島区","4","0","295","1","1","2","2","0","12","0","1","1","0","0","0","0","4","0","0","0","0","0","0","0","7","7","4","1","1","1","1"
"北区","7","4","295","0","2","5","23","0","28","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0","10","10","6","1","0","0","0"
"荒川区","3","2","301","8","0","2","18","2","23","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","7","7","4","0","0","0","0"
"板橋区","5","4","412","2","0","5","13","0","30","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","15","15","9","2","1","1","1"
"練馬区","15","20","720","3","1","7","53","1","68","0","3","10","1","7","0","0","1","0","0","0","0","0","0","0","20","20","12","1","0","0","0"
"足立","10","20","851","10","1","8","53","3","16","1","5","7","0","0","1","0","0","0","0","0","0","0","0","0","20","20","13","2","0","0","0"
"葛飾区","3","3","420","0","0","3","30","1","21","0","1","1","0","0","0","0","0","0","0","2","1","0","0","1","12","12","7","1","1","1","1"
"江戸川","6","11","891","6","1","28","36","1","36","0","1","4","0","0","0","0","4","0","0","0","0","0","0","0","19","19","12","2","0","0","0"
"八王子市","68","8","1513","8","3","13","39","1","43","1","5","10","0","1","0","0","0","0","0","0","0","0","0","0","17","17","10","2","1","1","1"
"町田市","25","4","1226","6","0","18","106","10","57","0","6","40","4","2","0","0","0","0","0","0","0","0","0","0","12","12","8","1","0","0","0"
"西多摩","3","5","251","0","0","4","5","0","19","0","0","3","0","0","0","0","1","0","0","0","0","0","0","1","13","13","7","1","1","1","1"
"南多摩","9","5","418","0","0","3","14","0","25","0","1","11","0","1","0","0","0","0","0","0","0","0","0","0","13","13","8","1","0","0","0"
"多摩立川","22","7","551","7","1","9","25","9","20","0","3","9","1","0","0","0","2","0","0","0","0","0","0","0","21","21","14","2","1","1","1"
"多摩府中","25","8","1203","14","1","11","54","4","67","2","5","15","0","2","0","0","3","0","1","0","0","0","6","2","31","31","19","3","3","3","3"
"多摩小平","16","22","1224","19","16","11","108","1","84","1","6","14","0","0","1","0","2","0","1","4","0","0","2","0","23","23","15","2","2","2","2"
"島しょ","0","0","29","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","1","1"
"合計","336","178","16407","157","41","183","959","45","923","7","73","259","13","26","11","0","22","1","5","11","1","0","13","12","400","400","249","36","25","25","25"


