"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2026年3週"
"集計期間終了週","2026年3週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","96","9","658","2","1","19","114","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","",""
"区南部","115","8","578","2","3","21","125","4","0","4","3","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"区西南部","105","13","752","3","0","18","102","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","2","","","","","","",""
"区西部","157","13","799","1","1","10","103","0","1","0","2","0","0","1","1","0","1","0","0","0","1","0","2","3","","","","","","",""
"区西北部","211","23","1078","4","3","26","196","4","0","1","3","0","0","0","0","0","2","0","0","0","0","0","2","0","","","","","","",""
"区東北部","143","18","863","7","1","22","129","4","0","0","6","0","0","1","1","0","0","0","0","1","0","0","0","0","","","","","","",""
"区東部","176","13","832","1","6","36","157","3","0","0","6","0","1","1","0","0","1","0","0","0","0","0","2","1","","","","","","",""
"西多摩","27","4","166","0","0","6","21","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"南多摩","255","21","1655","5","3","56","203","10","0","1","6","0","3","0","0","0","0","0","0","0","0","0","0","3","","","","","","",""
"北多摩西部","49","6","305","1","0","11","36","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","",""
"北多摩南部","136","15","730","1","0","23","81","3","1","0","6","1","0","1","0","0","1","0","0","2","0","0","5","1","","","","","","",""
"北多摩北部","67","8","599","3","1","15","98","4","0","0","4","0","0","0","0","0","0","0","0","1","0","0","6","2","","","","","","",""
"島しょ","3","1","13","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","1540","152","9028","30","19","263","1366","36","5","8","39","2","4","4","2","0","7","0","0","5","1","0","23","15","","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2026年3週"
"集計期間終了週","2026年3週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","101","12","666","3","1","11","94","3","1","0","3","1","2","0","0","0","0","0","0","0","0","0","3","2","","","","","","",""
"区南部","121","10","513","1","3","22","115","2","0","2","1","0","1","0","0","0","2","0","0","0","0","0","1","1","","","","","","",""
"区西南部","122","9","719","5","0","14","113","1","1","1","2","0","0","0","0","0","0","0","0","0","0","1","4","1","","","","","","",""
"区西部","171","16","796","4","1","7","103","1","1","1","2","0","1","1","1","0","1","0","0","0","1","0","3","3","","","","","","",""
"区西北部","183","28","1019","5","2","12","153","2","0","1","6","0","0","0","0","0","1","0","0","1","0","0","2","0","","","","","","",""
"区東北部","118","17","839","7","1","14","118","1","0","0","5","0","1","1","1","0","0","0","0","2","0","0","2","0","","","","","","",""
"区東部","152","11","860","3","6","22","108","2","0","0","6","0","1","1","0","0","1","0","0","0","0","0","2","1","","","","","","",""
"西多摩","27","9","162","0","0","2","23","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","","","","","","",""
"南多摩","225","26","1530","5","1","35","172","12","0","1","1","0","3","0","0","0","0","0","0","0","0","0","1","3","","","","","","",""
"北多摩西部","48","9","298","1","0","13","33","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","",""
"北多摩南部","140","17","676","1","0","17","90","9","1","1","5","1","0","1","0","0","2","0","0","2","0","0","1","1","","","","","","",""
"北多摩北部","80","9","569","3","3","8","90","2","1","0","3","0","0","0","0","0","0","0","0","1","0","0","6","2","","","","","","",""
"島しょ","4","2","13","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","1492","175","8660","38","18","177","1213","37","5","8","37","2","9","4","2","0","7","0","0","7","1","1","27","16","","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2026年3週"
"集計期間終了週","2026年3週"
"性別","男女合計"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
