"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年47週
"集計期間終了週",2025年47週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","10956","10652","21608","418"
"新型コロナウイルス感染症（COVID-19）","134","202","336","418"
"急性呼吸器感染症（ARI）","21717","21570","43287","417"
"RSウイルス感染症","41","29","70","264"
"咽頭結膜熱","25","20","45","264"
"Ａ群溶血性レンサ球菌咽頭炎","314","274","588","264"
"感染性胃腸炎","797","680","1477","264"
"水痘","40","29","69","264"
"手足口病","6","9","15","264"
"伝染性紅斑","11","12","23","264"
"突発性発しん","26","26","52","264"
"ヘルパンギーナ","9","11","20","264"
"流行性耳下腺炎","9","3","12","264"
"不明発しん症","3","3","6","264"
"川崎病","2","1","3","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","14","11","25","39"
"細菌性髄膜炎","0","0","0","24"
"無菌性髄膜炎","0","0","0","24"
"マイコプラズマ肺炎","7","7","14","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
"感染性胃腸炎（ロタウイルス）","1","0","1","24"
"インフルエンザ入院","68","57","125","24"
"COVID-19入院","29","28","57","24"
