"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2026年2週
"集計期間終了週",2026年2週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1389","1493","2882","419"
"新型コロナウイルス感染症（COVID-19）","167","174","341","419"
"急性呼吸器感染症（ARI）","9834","9895","19729","419"
"RSウイルス感染症","38","32","70","264"
"咽頭結膜熱","25","10","35","264"
"Ａ群溶血性レンサ球菌咽頭炎","221","202","423","264"
"感染性胃腸炎","1089","1019","2108","264"
"水痘","63","62","125","264"
"手足口病","8","5","13","264"
"伝染性紅斑","11","8","19","264"
"突発性発しん","39","34","73","264"
"ヘルパンギーナ","1","1","2","264"
"流行性耳下腺炎","7","2","9","264"
"不明発しん症","6","7","13","264"
"川崎病","0","2","2","264"
"急性出血性結膜炎","0","1","1","39"
"流行性角結膜炎","7","8","15","39"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","6","8","14","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","1","1","25"
"インフルエンザ入院","15","27","42","25"
"COVID-19入院","7","15","22","25"
