"定点報告疾患 月報告分 男女別集計表"
"東京都"
"集計期間開始月",2025年12月
"集計期間終了月",2025年12月

"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","92","90","182","54"
"性器ヘルペスウイルス感染症","30","28","58","54"
"尖圭コンジローマ","37","15","52","54"
"淋菌感染症","26","11","37","54"
"膣トリコモナス症","2","7","9","54"
"梅毒様疾患","0","0","0","54"
"メチシリン耐性黄色ブドウ球菌感染症","31","34","65","25"
"ペニシリン耐性肺炎球菌感染症","3","0","3","25"
"薬剤耐性緑膿菌感染症","0","1","1","25"
