"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2026年3週"
"集計期間終了週","2026年3週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"墨田区","12","0","58","1","0","0","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"江東区","70","3","340","1","0","8","53","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"品川区","42","2","176","1","0","5","22","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"目黒区","16","1","95","0","0","4","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","79","8","337","0","0","17","93","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","1","1","","","","","","",""
"世田谷","89","6","505","5","0","6","73","1","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","","",""
"渋谷区","17","2","119","0","0","4","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"中野区","64","4","416","1","0","4","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"杉並","80","6","267","1","0","0","39","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","3","0","","","","","","",""
"池袋","33","8","196","0","0","1","22","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"北区","39","5","181","0","1","2","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
