"定点報告疾患 月報告分 男女別集計表"
"東京都"
"集計期間開始月",2026年6月
"集計期間終了月",2026年6月

"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","109","76","185","55"
"性器ヘルペスウイルス感染症","37","23","60","55"
"尖圭コンジローマ","38","15","53","55"
"淋菌感染症","39","15","54","55"
"膣トリコモナス症","1","8","9","55"
"メチシリン耐性黄色ブドウ球菌感染症","31","27","58","25"
"ペニシリン耐性肺炎球菌感染症","3","1","4","25"
