"定点報告疾患 月報告分 男女別集計表"
"東京都"
"集計期間開始月",2026年5月
"集計期間終了月",2026年5月

"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","102","67","169","55"
"性器ヘルペスウイルス感染症","28","21","49","55"
"尖圭コンジローマ","29","14","43","55"
"淋菌感染症","43","8","51","55"
"膣トリコモナス症","0","3","3","55"
"メチシリン耐性黄色ブドウ球菌感染症","29","16","45","25"
"ペニシリン耐性肺炎球菌感染症","0","2","2","25"
