"定点報告疾患 月報告分 男女別集計表"
"東京都"
"集計期間開始月",2026年2月
"集計期間終了月",2026年2月

"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","85","75","160","55"
"性器ヘルペスウイルス感染症","27","23","50","55"
"尖圭コンジローマ","38","12","50","55"
"淋菌感染症","38","22","60","55"
"膣トリコモナス症","0","10","10","55"
"梅毒様疾患","0","0","0","55"
"メチシリン耐性黄色ブドウ球菌感染症","34","15","49","25"
"ペニシリン耐性肺炎球菌感染症","3","1","4","25"
"薬剤耐性緑膿菌感染症","2","1","3","25"
