"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2026年23週
"集計期間終了週",2026年23週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","7","7","14","419"
"新型コロナウイルス感染症（COVID-19）","34","32","66","419"
"急性呼吸器感染症（ARI）","9703","9240","18943","419"
"RSウイルス感染症","23","10","33","264"
"咽頭結膜熱","67","61","128","264"
"Ａ群溶血性レンサ球菌咽頭炎","214","164","378","264"
"感染性胃腸炎","724","628","1352","264"
"水痘","38","33","71","264"
"手足口病","159","132","291","264"
"伝染性紅斑","6","4","10","264"
"突発性発しん","45","59","104","264"
"ヘルパンギーナ","41","39","80","264"
"流行性耳下腺炎","4","3","7","264"
"不明発しん症","7","10","17","264"
"川崎病","1","2","3","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","6","12","18","39"
"細菌性髄膜炎","2","0","2","25"
"無菌性髄膜炎","1","2","3","25"
"マイコプラズマ肺炎","2","2","4","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
"COVID-19入院","4","6","10","25"
