"定点報告疾患 月報告分 男女別集計表"
"東京都"
"集計期間開始月",2026年7月
"集計期間終了月",2026年7月

"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","79","67","146","55"
"性器ヘルペスウイルス感染症","29","19","48","55"
"尖圭コンジローマ","36","11","47","55"
"淋菌感染症","43","13","56","55"
"膣トリコモナス症","0","5","5","55"
"メチシリン耐性黄色ブドウ球菌感染症","23","21","44","25"
"ペニシリン耐性肺炎球菌感染症","1","0","1","25"
