"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年6月"
"集計期間終了月","2026年6月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","1","0"
"1～4歳","0","0","0","0","0","0","1"
"5～9歳","0","0","0","0","0","3","0"
"10～14歳","0","0","0","0","0","0","0"
"15～19歳","1","0","1","0","0","0","0"
"20～24歳","20","1","4","7","0","2","0"
"25～29歳","25","10","9","7","0","0","0"
"30～34歳","9","7","3","2","0","0","0"
"35～39歳","17","2","4","3","0","1","0"
"40～44歳","15","5","5","6","1","0","0"
"45～49歳","14","4","2","8","0","0","0"
"50～54歳","1","5","2","2","0","1","0"
"55～59歳","6","0","2","0","0","2","0"
"60～64歳","0","1","5","2","0","1","0"
"65～69歳","1","1","0","2","0","2","0"
"70歳以上","0","1","1","0","0","18","2"
"合計","109","37","38","39","1","31","3"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年6月"
"集計期間終了月","2026年6月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0"
"15～19歳","4","0","1","0","0","0","0"
"20～24歳","22","5","4","4","4","1","0"
"25～29歳","14","5","3","4","1","3","0"
"30～34歳","16","5","1","2","1","1","0"
"35～39歳","6","0","2","1","0","0","0"
"40～44歳","4","1","0","1","1","0","1"
"45～49歳","6","1","1","2","0","0","0"
"50～54歳","1","1","1","0","1","0","0"
"55～59歳","2","1","0","1","0","2","0"
"60～64歳","0","1","2","0","0","2","0"
"65～69歳","1","1","0","0","0","1","0"
"70歳以上","0","2","0","0","0","17","0"
"合計","76","23","15","15","8","27","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年6月"
"集計期間終了月","2026年6月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","1","0"
"1～4歳","0","0","0","0","0","0","1"
"5～9歳","0","0","0","0","0","3","0"
"10～14歳","0","0","0","0","0","0","0"
"15～19歳","5","0","2","0","0","0","0"
"20～24歳","42","6","8","11","4","3","0"
"25～29歳","39","15","12","11","1","3","0"
"30～34歳","25","12","4","4","1","1","0"
"35～39歳","23","2","6","4","0","1","0"
"40～44歳","19","6","5","7","2","0","1"
"45～49歳","20","5","3","10","0","0","0"
"50～54歳","2","6","3","2","1","1","0"
"55～59歳","8","1","2","1","0","4","0"
"60～64歳","0","2","7","2","0","3","0"
"65～69歳","2","2","0","2","0","3","0"
"70歳以上","0","3","1","0","0","35","2"
"合計","185","60","53","54","9","58","4"
"定点数","55","55","55","55","55","25","25"


