"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年8月"
"集計期間終了月","2026年8月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","2","1"
"5～9歳","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","1","0"
"15～19歳","3","0","0","0","0","1","0"
"20～24歳","17","3","0","9","0","1","0"
"25～29歳","30","1","11","7","1","0","0"
"30～34歳","17","3","5","5","0","0","0"
"35～39歳","14","2","2","7","0","1","0"
"40～44歳","5","3","10","4","0","2","0"
"45～49歳","9","2","4","4","0","1","0"
"50～54歳","6","3","5","3","0","3","0"
"55～59歳","1","0","3","1","0","6","0"
"60～64歳","0","0","1","0","0","1","0"
"65～69歳","0","0","2","1","0","3","0"
"70歳以上","0","1","2","0","0","20","2"
"合計","102","18","45","41","1","42","3"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年8月"
"集計期間終了月","2026年8月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","1","0"
"10～14歳","0","0","0","0","0","0","0"
"15～19歳","4","1","0","3","0","0","0"
"20～24歳","25","6","5","6","1","0","0"
"25～29歳","30","5","4","3","3","3","0"
"30～34歳","13","2","4","1","1","0","0"
"35～39歳","1","3","3","3","1","2","1"
"40～44歳","1","0","1","0","1","0","0"
"45～49歳","2","2","1","3","1","1","0"
"50～54歳","3","1","1","1","0","1","0"
"55～59歳","0","0","0","0","0","1","0"
"60～64歳","0","1","0","2","0","1","0"
"65～69歳","0","0","0","0","0","2","0"
"70歳以上","0","2","0","0","0","10","0"
"合計","79","23","19","22","8","22","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年8月"
"集計期間終了月","2026年8月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","2","1"
"5～9歳","0","0","0","0","0","1","0"
"10～14歳","0","0","0","0","0","1","0"
"15～19歳","7","1","0","3","0","1","0"
"20～24歳","42","9","5","15","1","1","0"
"25～29歳","60","6","15","10","4","3","0"
"30～34歳","30","5","9","6","1","0","0"
"35～39歳","15","5","5","10","1","3","1"
"40～44歳","6","3","11","4","1","2","0"
"45～49歳","11","4","5","7","1","2","0"
"50～54歳","9","4","6","4","0","4","0"
"55～59歳","1","0","3","1","0","7","0"
"60～64歳","0","1","1","2","0","2","0"
"65～69歳","0","0","2","1","0","5","0"
"70歳以上","0","3","2","0","0","30","2"
"合計","181","41","64","63","9","64","4"
"定点数","55","55","55","55","55","25","25"


