"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2026年7週
"集計期間終了週",2026年7週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","8308","7743","16051","418"
"新型コロナウイルス感染症（COVID-19）","294","375","669","418"
"急性呼吸器感染症（ARI）","19115","18414","37529","418"
"RSウイルス感染症","39","27","66","263"
"咽頭結膜熱","30","28","58","263"
"Ａ群溶血性レンサ球菌咽頭炎","254","194","448","263"
"感染性胃腸炎","1703","1442","3145","263"
"水痘","34","30","64","263"
"手足口病","3","4","7","263"
"伝染性紅斑","7","7","14","263"
"突発性発しん","24","30","54","263"
"ヘルパンギーナ","1","1","2","263"
"流行性耳下腺炎","4","1","5","263"
"不明発しん症","4","3","7","263"
"川崎病","0","2","2","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","5","2","7","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","2","2","25"
"インフルエンザ入院","33","31","64","25"
"COVID-19入院","33","21","54","25"
