"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年12月"
"集計期間終了月","2025年12月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","0","0"
"1～4歳","0","0","0","0","0","0","0","1","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","2","0","1","1","0","0","2","0","0"
"20～24歳","16","3","2","2","0","0","0","0","0"
"25～29歳","25","5","2","8","0","0","0","0","0"
"30～34歳","19","4","9","8","1","0","0","0","0"
"35～39歳","8","4","2","1","0","0","0","0","0"
"40～44歳","7","4","3","1","0","0","1","0","0"
"45～49歳","5","5","8","2","0","0","0","0","0"
"50～54歳","7","2","5","2","0","0","1","0","0"
"55～59歳","2","2","3","1","0","0","0","0","0"
"60～64歳","1","1","0","0","0","0","1","0","0"
"65～69歳","0","0","1","0","1","0","0","0","0"
"70歳以上","0","0","1","0","0","0","23","2","0"
"合計","92","30","37","26","2","0","31","3","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年12月"
"集計期間終了月","2025年12月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","0","0"
"1～4歳","0","0","0","0","0","0","1","0","0"
"5～9歳","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","5","1","0","1","1","0","1","0","0"
"20～24歳","23","4","4","3","1","0","0","0","0"
"25～29歳","27","5","5","2","1","0","0","0","0"
"30～34歳","13","7","4","2","1","0","1","0","0"
"35～39歳","13","4","1","1","1","0","1","0","0"
"40～44歳","2","3","0","0","0","0","1","0","0"
"45～49歳","2","2","1","0","1","0","0","0","0"
"50～54歳","3","0","0","0","0","0","0","0","0"
"55～59歳","2","1","0","0","1","0","1","0","0"
"60～64歳","0","1","0","2","0","0","2","0","0"
"65～69歳","0","0","0","0","0","0","2","0","0"
"70歳以上","0","0","0","0","0","0","21","0","1"
"合計","90","28","15","11","7","0","34","0","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2025年12月"
"集計期間終了月","2025年12月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","0","0"
"1～4歳","0","0","0","0","0","0","1","1","0"
"5～9歳","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","2","0","0"
"15～19歳","7","1","1","2","1","0","3","0","0"
"20～24歳","39","7","6","5","1","0","0","0","0"
"25～29歳","52","10","7","10","1","0","0","0","0"
"30～34歳","32","11","13","10","2","0","1","0","0"
"35～39歳","21","8","3","2","1","0","1","0","0"
"40～44歳","9","7","3","1","0","0","2","0","0"
"45～49歳","7","7","9","2","1","0","0","0","0"
"50～54歳","10","2","5","2","0","0","1","0","0"
"55～59歳","4","3","3","1","1","0","1","0","0"
"60～64歳","1","2","0","2","0","0","3","0","0"
"65～69歳","0","0","1","0","1","0","2","0","0"
"70歳以上","0","0","1","0","0","0","44","2","1"
"合計","182","58","52","37","9","0","65","3","1"
"定点数","54","54","54","54","54","54","25","25","25"


