"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2026年32週
"集計期間終了週",2026年32週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","171","166","337","412"
"新型コロナウイルス感染症（COVID-19）","77","105","182","412"
"急性呼吸器感染症（ARI）","8400","8409","16809","412"
"RSウイルス感染症","87","75","162","257"
"咽頭結膜熱","22","19","41","257"
"Ａ群溶血性レンサ球菌咽頭炎","107","78","185","257"
"感染性胃腸炎","524","460","984","257"
"水痘","26","19","45","257"
"手足口病","507","475","982","257"
"伝染性紅斑","6","2","8","257"
"突発性発しん","39","36","75","257"
"ヘルパンギーナ","142","136","278","257"
"流行性耳下腺炎","8","5","13","257"
"不明発しん症","8","18","26","257"
"川崎病","8","3","11","257"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","14","8","22","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","1","4","5","25"
"マイコプラズマ肺炎","3","8","11","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","8","5","13","25"
"COVID-19入院","4","8","12","25"
