"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2026年12週"
"集計期間終了週","2026年12週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","3","0","50","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"中央区","1","0","110","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"みなと","17","4","173","0","1","1","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","",""
"新宿区","15","2","145","0","0","0","15","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","","","","","","",""
"文京","33","3","274","0","0","6","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"台東","21","2","198","1","1","2","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","13","5","68","0","0","3","8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","","","","","","",""
"江東区","64","7","426","0","0","11","47","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"品川区","28","8","148","0","0","5","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"目黒区","21","4","118","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","108","14","346","0","0","12","45","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","",""
"世田谷","83","18","598","3","0","10","40","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","","","","","","",""
"渋谷区","12","1","110","1","0","1","14","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"中野区","28","3","346","0","2","3","21","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"杉並","42","10","207","2","0","0","20","2","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"池袋","34","4","143","2","0","1","11","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"北区","41","2","180","1","1","2","22","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"荒川区","33","2","213","1","0","7","17","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","42","8","247","0","0","5","26","2","0","0","1","0","1","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"練馬区","69","7","461","0","0","12","49","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"足立","47","8","459","2","4","8","38","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","28","3","230","1","0","7","14","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","","","","","","",""
"江戸川","56","5","412","1","1","15","42","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"八王子市","91","17","830","1","1","14","72","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"町田市","103","18","769","1","0","23","78","8","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","57","6","164","0","0","4","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"南多摩","51","6","362","1","0","7","31","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","98","11","449","2","0","15","38","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩府中","155","29","924","1","0","26","68","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","4","1","","","","","","",""
"多摩小平","146","5","791","3","1","14","73","6","0","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","","","","","","",""
"島しょ","10","1","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","1550","213","9995","24","12","215","887","53","2","2","20","0","1","4","1","0","6","1","0","0","1","2","9","9","","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2026年12週"
"集計期間終了週","2026年12週"
"性別","女性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","5","0","37","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"中央区","7","1","104","0","0","0","9","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"みなと","17","3","176","0","1","1","13","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"新宿区","18","1","127","0","0","1","14","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"文京","23","3","245","0","0","2","24","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","","","","","","",""
"台東","17","0","186","0","0","5","19","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","25","2","76","1","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"江東区","72","5","427","0","1","3","36","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"品川区","35","9","145","0","0","2","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"目黒区","23","7","96","0","0","1","6","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","99","18","343","0","0","8","29","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","",""
"世田谷","92","22","598","3","0","10","49","1","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","","","","","","",""
"渋谷区","12","1","134","0","0","2","16","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"中野区","35","1","377","0","0","4","20","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"杉並","51","11","211","1","0","0","21","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","0","","","","","","",""
"池袋","38","3","157","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"北区","28","5","207","0","0","3","12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"荒川区","52","3","246","2","0","6","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","46","7","287","0","0","2","16","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","",""
"練馬区","97","5","459","1","0","5","41","4","0","2","4","0","1","0","1","0","2","0","0","0","0","0","0","0","","","","","","",""
"足立","52","9","507","2","2","2","26","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","26","8","227","1","0","4","13","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","","","","","","",""
"江戸川","70","4","448","0","1","20","24","3","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"八王子市","95","15","826","1","0","15","67","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"町田市","110","11","713","1","0","17","66","11","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","43","10","179","0","0","1","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"南多摩","58","4","350","0","0","7","23","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","98","8","381","1","0","5","33","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","","","","","","",""
"多摩府中","119","20","833","1","0","14","55","4","0","0","4","0","0","0","0","0","0","0","1","0","0","0","2","0","","","","","","",""
"多摩小平","136","7","780","3","1","11","76","3","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","",""
"島しょ","9","0","40","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","","",""
"合計","1608","203","9922","18","7","156","765","46","7","4","32","0","5","6","3","0","3","0","1","1","0","3","8","6","","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2026年12週"
"集計期間終了週","2026年12週"
"性別","男女合計"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","8","0","87","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","0","2","2","2"
"中央区","8","1","214","0","0","0","13","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","5","5","3","1","0","0","0"
"みなと","34","7","349","0","2","2","27","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","9","9","6","0","1","1","1"
