"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年8月"
"集計期間終了月","2026年8月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"千代田","0","0","0","1","0","0","0","",""
"中央区","2","1","1","3","0","0","0","",""
"みなと","5","2","15","0","0","0","0","",""
"新宿区","22","7","8","11","1","7","0","",""
"文京","6","1","0","2","0","0","0","",""
"台東","0","0","0","0","0","0","0","",""
"墨田区","3","1","2","3","0","6","0","",""
"江東区","8","2","3","0","0","0","0","",""
"品川区","28","2","4","14","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","",""
"大田区","1","0","0","0","0","4","0","",""
"世田谷","0","0","0","0","0","4","1","",""
"渋谷区","8","1","7","0","0","1","0","",""
"中野区","10","0","0","4","0","0","0","",""
"杉並","4","0","1","1","0","1","0","",""
"豊島区","2","0","2","0","0","0","0","",""
"北区","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","",""
"板橋区","0","0","1","0","0","5","0","",""
"練馬区","0","0","0","0","0","0","0","",""
"足立","1","0","1","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","1","",""
"江戸川","2","1","0","2","0","0","0","",""
"八王子市","0","0","0","0","0","3","0","",""
"町田市","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","3","0","",""
"南多摩","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","8","1","",""
"多摩小平","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","",""
"合計","102","18","45","41","1","42","3","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年8月"
"集計期間終了月","2026年8月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","1","0","",""
"中央区","0","0","0","0","0","0","0","",""
"みなと","0","0","0","0","0","1","0","",""
"新宿区","15","2","3","1","1","5","0","",""
"文京","0","0","0","0","0","1","0","",""
"台東","5","1","8","8","2","0","0","",""
"墨田区","0","0","2","0","1","1","0","",""
"江東区","0","0","1","0","0","0","0","",""
"品川区","21","2","1","5","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","",""
"大田区","1","1","0","1","0","0","0","",""
"世田谷","0","0","0","0","0","1","0","",""
"渋谷区","5","8","2","0","0","0","0","",""
"中野区","1","0","0","0","0","0","0","",""
"杉並","2","0","0","0","0","1","0","",""
"豊島区","3","2","0","0","1","0","0","",""
"北区","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","",""
"板橋区","1","1","0","0","0","5","0","",""
"練馬区","0","0","0","0","0","0","0","",""
"足立","2","1","1","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","1","",""
"江戸川","7","0","1","2","1","0","0","",""
"八王子市","5","2","0","3","2","3","0","",""
"町田市","2","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","",""
"多摩立川","4","2","0","1","0","0","0","",""
"多摩府中","4","1","0","1","0","3","0","",""
"多摩小平","1","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","",""
"合計","79","23","19","22","8","22","1","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年8月"
"集計期間終了月","2026年8月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"千代田","0","0","0","1","0","1","0","2","2"
"中央区","2","1","1","3","0","0","0","3","0"
"みなと","5","2","15","0","0","1","0","2","1"
"新宿区","37","9","11","12","2","12","0","7","2"
"文京","6","1","0","2","0","1","0","1","1"
"台東","5","1","8","8","2","0","0","2","0"
"墨田区","3","1","4","3","1","7","0","2","1"
"江東区","8","2","4","0","0","0","0","2","0"
"品川区","49","4","5","19","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0"
"大田区","2","1","0","1","0","4","0","2","1"
"世田谷","0","0","0","0","0","5","1","0","2"
"渋谷区","13","9","9","0","0","1","0","5","1"
"中野区","11","0","0","4","0","0","0","2","0"
"杉並","6","0","1","1","0","2","0","2","2"
"豊島区","5","2","2","0","1","0","0","3","1"
"北区","0","0","0","0","0","0","0","1","0"
"荒川区","0","0","0","0","0","0","0","1","0"
"板橋区","1","1","1","0","0","10","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0"
"足立","3","1","2","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","2","0","1"
"江戸川","9","1","1","4","1","0","0","2","0"
"八王子市","5","2","0","3","2","6","0","4","1"
"町田市","2","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","3","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0"
"多摩立川","4","2","0","1","0","0","0","2","1"
"多摩府中","4","1","0","1","0","11","1","3","3"
"多摩小平","1","0","0","0","0","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","1"
"合計","181","41","64","63","9","64","4","55","25"


