"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年7月"
"集計期間終了月","2026年7月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","1","0"
"1～4歳","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0"
"15～19歳","4","0","0","2","0","2","0"
"20～24歳","12","3","2","4","0","0","0"
"25～29歳","19","6","7","8","0","1","0"
"30～34歳","10","3","7","2","0","0","0"
"35～39歳","14","0","2","4","0","0","0"
"40～44歳","8","3","4","12","0","1","0"
"45～49歳","7","3","3","6","0","0","0"
"50～54歳","3","4","3","3","0","3","0"
"55～59歳","1","4","4","2","0","1","0"
"60～64歳","0","0","3","0","0","0","0"
"65～69歳","1","2","1","0","0","2","1"
"70歳以上","0","1","0","0","0","12","0"
"合計","79","29","36","43","0","23","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年7月"
"集計期間終了月","2026年7月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","1","0"
"1～4歳","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","1","0"
"15～19歳","7","0","1","0","0","0","0"
"20～24歳","17","2","6","0","2","1","0"
"25～29歳","11","6","2","4","1","1","0"
"30～34歳","16","2","2","2","0","0","0"
"35～39歳","8","3","0","1","1","1","0"
"40～44歳","3","3","0","1","0","1","0"
"45～49歳","2","0","0","0","0","1","0"
"50～54歳","1","2","0","5","0","1","0"
"55～59歳","0","1","0","0","0","1","0"
"60～64歳","1","0","0","0","1","0","0"
"65～69歳","1","0","0","0","0","1","0"
"70歳以上","0","0","0","0","0","11","0"
"合計","67","19","11","13","5","21","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年7月"
"集計期間終了月","2026年7月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症"
"0歳","0","0","0","0","0","2","0"
"1～4歳","0","0","0","0","0","0","0"
"5～9歳","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","1","0"
"15～19歳","11","0","1","2","0","2","0"
"20～24歳","29","5","8","4","2","1","0"
"25～29歳","30","12","9","12","1","2","0"
"30～34歳","26","5","9","4","0","0","0"
"35～39歳","22","3","2","5","1","1","0"
"40～44歳","11","6","4","13","0","2","0"
"45～49歳","9","3","3","6","0","1","0"
"50～54歳","4","6","3","8","0","4","0"
"55～59歳","1","5","4","2","0","2","0"
"60～64歳","1","0","3","0","1","0","0"
"65～69歳","2","2","1","0","0","3","1"
"70歳以上","0","1","0","0","0","23","0"
"合計","146","48","47","56","5","44","1"
"定点数","55","55","55","55","55","25","25"


