"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2026年20週
"集計期間終了週",2026年20週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","21","12","33","418"
"新型コロナウイルス感染症（COVID-19）","28","34","62","418"
"急性呼吸器感染症（ARI）","9586","9414","19000","418"
"RSウイルス感染症","20","17","37","263"
"咽頭結膜熱","49","33","82","263"
"Ａ群溶血性レンサ球菌咽頭炎","244","189","433","263"
"感染性胃腸炎","780","636","1416","263"
"水痘","64","54","118","263"
"手足口病","55","54","109","263"
"伝染性紅斑","3","3","6","263"
"突発性発しん","55","46","101","263"
"ヘルパンギーナ","12","10","22","263"
"流行性耳下腺炎","5","4","9","263"
"不明発しん症","12","6","18","263"
"川崎病","2","5","7","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","6","4","10","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","1","2","25"
"マイコプラズマ肺炎","2","0","2","25"
"クラミジア肺炎(オウム病は除く)","1","1","2","25"
"感染性胃腸炎（ロタウイルス）","0","2","2","25"
"インフルエンザ入院","0","1","1","25"
"COVID-19入院","6","4","10","25"
