"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年3月"
"集計期間終了月","2026年3月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","1","0","0"
"5～9歳","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","2","0","0"
"15～19歳","3","0","0","4","0","1","0","0"
"20～24歳","7","5","5","7","0","0","0","0"
"25～29歳","30","4","4","8","0","0","0","0"
"30～34歳","18","5","4","6","0","0","0","0"
"35～39歳","16","4","3","6","0","2","0","0"
"40～44歳","9","2","4","7","0","2","0","0"
"45～49歳","7","2","1","2","0","0","0","0"
"50～54歳","1","3","4","3","0","2","0","0"
"55～59歳","4","1","0","4","0","2","0","1"
"60～64歳","2","2","1","1","0","1","0","0"
"65～69歳","0","0","0","0","0","3","0","0"
"70歳以上","0","2","2","0","0","29","1","0"
"合計","97","30","28","48","0","45","1","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年3月"
"集計期間終了月","2026年3月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","1","0","0"
"1～4歳","0","0","0","0","0","0","1","0"
"5～9歳","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0"
"15～19歳","7","2","5","2","0","0","0","0"
"20～24歳","29","6","4","3","5","1","0","0"
"25～29歳","21","5","3","6","0","1","0","0"
"30～34歳","14","4","2","3","2","0","0","0"
"35～39歳","9","3","0","2","0","0","0","0"
"40～44歳","2","3","0","2","0","1","0","0"
"45～49歳","5","0","2","1","1","0","0","0"
"50～54歳","2","2","0","0","0","0","0","0"
"55～59歳","2","2","0","0","0","3","0","0"
"60～64歳","0","0","1","0","0","0","2","0"
"65～69歳","0","1","0","0","0","1","0","0"
"70歳以上","0","0","0","0","0","8","1","1"
"合計","91","28","17","19","8","16","4","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年3月"
"集計期間終了月","2026年3月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","1","0","0"
"1～4歳","0","0","0","0","0","1","1","0"
"5～9歳","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","2","0","0"
"15～19歳","10","2","5","6","0","1","0","0"
"20～24歳","36","11","9","10","5","1","0","0"
"25～29歳","51","9","7","14","0","1","0","0"
"30～34歳","32","9","6","9","2","0","0","0"
"35～39歳","25","7","3","8","0","2","0","0"
"40～44歳","11","5","4","9","0","3","0","0"
"45～49歳","12","2","3","3","1","0","0","0"
"50～54歳","3","5","4","3","0","2","0","0"
"55～59歳","6","3","0","4","0","5","0","1"
"60～64歳","2","2","2","1","0","1","2","0"
"65～69歳","0","1","0","0","0","4","0","0"
"70歳以上","0","2","2","0","0","37","2","1"
"合計","188","58","45","67","8","61","5","2"
"定点数","55","55","55","55","55","25","25","25"


