"定点報告疾患 月報告分 男女別集計表"
"東京都"
"集計期間開始月",2026年3月
"集計期間終了月",2026年3月

"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","97","91","188","55"
"性器ヘルペスウイルス感染症","30","28","58","55"
"尖圭コンジローマ","28","17","45","55"
"淋菌感染症","48","19","67","55"
"膣トリコモナス症","0","8","8","55"
"メチシリン耐性黄色ブドウ球菌感染症","45","16","61","25"
"ペニシリン耐性肺炎球菌感染症","1","4","5","25"
"薬剤耐性緑膿菌感染症","1","1","2","25"
