"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2026年3週
"集計期間終了週",2026年3週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1540","1492","3032","418"
"新型コロナウイルス感染症（COVID-19）","152","175","327","418"
"急性呼吸器感染症（ARI）","9028","8660","17688","418"
"RSウイルス感染症","30","37","67","263"
"咽頭結膜熱","19","7","26","263"
"Ａ群溶血性レンサ球菌咽頭炎","263","177","440","263"
"感染性胃腸炎","1366","1212","2578","263"
"水痘","36","36","72","263"
"手足口病","5","2","7","263"
"伝染性紅斑","8","5","13","263"
"突発性発しん","39","29","68","263"
"ヘルパンギーナ","2","1","3","263"
"流行性耳下腺炎","4","5","9","263"
"不明発しん症","4","1","5","263"
"川崎病","2","0","2","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","7","4","11","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","5","3","8","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","1","1","25"
"インフルエンザ入院","23","18","41","25"
"COVID-19入院","15","4","19","25"
