"定点報告疾患 月報告分 男女別集計表"
"東京都"
"集計期間開始月",2026年1月
"集計期間終了月",2026年1月

"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","116","89","205","55"
"性器ヘルペスウイルス感染症","30","27","57","55"
"尖圭コンジローマ","29","14","43","55"
"淋菌感染症","41","14","55","55"
"膣トリコモナス症","1","7","8","55"
"メチシリン耐性黄色ブドウ球菌感染症","31","26","57","25"
"ペニシリン耐性肺炎球菌感染症","4","2","6","25"
"薬剤耐性緑膿菌感染症","2","0","2","25"
