"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年1月"
"集計期間終了月","2026年1月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","1","0","0"
"1～4歳","0","0","0","0","0","0","1","0","0"
"5～9歳","0","0","0","0","0","0","1","1","0"
"10～14歳","0","0","0","0","0","0","0","1","0"
"15～19歳","2","0","0","0","0","0","0","0","0"
"20～24歳","16","3","3","7","0","0","0","0","0"
"25～29歳","24","6","4","7","0","0","1","0","0"
"30～34歳","22","3","5","8","1","0","0","0","0"
"35～39歳","22","3","5","5","0","0","1","0","0"
"40～44歳","11","3","2","5","0","0","0","0","0"
"45～49歳","7","4","3","6","0","0","2","1","1"
"50～54歳","4","4","2","0","0","0","2","0","0"
"55～59歳","7","3","2","1","0","0","2","1","1"
"60～64歳","0","0","0","0","0","0","2","0","0"
"65～69歳","1","1","1","1","0","0","1","0","0"
"70歳以上","0","0","2","1","0","0","17","0","0"
"合計","116","30","29","41","1","0","31","4","2"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年1月"
"集計期間終了月","2026年1月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","0","0"
"1～4歳","0","0","0","0","0","0","2","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","7","0","1","1","0","0","0","0","0"
"20～24歳","24","3","3","7","3","0","0","0","0"
"25～29歳","31","5","3","5","0","0","0","0","0"
"30～34歳","5","6","1","0","2","0","1","1","0"
"35～39歳","6","3","2","1","0","0","1","0","0"
"40～44歳","4","4","2","0","0","0","1","0","0"
"45～49歳","8","3","2","0","1","0","1","0","0"
"50～54歳","2","2","0","0","1","0","0","0","0"
"55～59歳","1","0","0","0","0","0","0","0","0"
"60～64歳","1","0","0","0","0","0","1","0","0"
"65～69歳","0","1","0","0","0","0","0","1","0"
"70歳以上","0","0","0","0","0","0","15","0","0"
"合計","89","27","14","14","7","0","25","2","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2026年1月"
"集計期間終了月","2026年1月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","0","0"
"1～4歳","0","0","0","0","0","0","3","0","0"
"5～9歳","0","0","0","0","0","0","1","1","0"
"10～14歳","0","0","0","0","0","0","1","1","0"
"15～19歳","9","0","1","1","0","0","0","0","0"
"20～24歳","40","6","6","14","3","0","0","0","0"
"25～29歳","55","11","7","12","0","0","1","0","0"
"30～34歳","27","9","6","8","3","0","1","1","0"
"35～39歳","28","6","7","6","0","0","2","0","0"
"40～44歳","15","7","4","5","0","0","1","0","0"
"45～49歳","15","7","5","6","1","0","3","1","1"
"50～54歳","6","6","2","0","1","0","2","0","0"
"55～59歳","8","3","2","1","0","0","2","1","1"
"60～64歳","1","0","0","0","0","0","3","0","0"
"65～69歳","1","2","1","1","0","0","1","1","0"
"70歳以上","0","0","2","1","0","0","32","0","0"
"合計","205","57","43","55","8","0","56","6","2"
"定点数","55","55","55","55","55","55","25","25","25"


