"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年6月"
"集計期間終了月","2026年6月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"千代田","1","1","1","2","0","1","0","",""
"中央区","2","6","2","1","0","0","0","",""
"みなと","10","6","7","4","0","0","0","",""
"新宿区","29","10","14","4","1","3","1","",""
"文京","5","0","1","2","0","2","0","",""
"台東","0","2","0","1","0","0","0","",""
"墨田区","2","0","1","0","0","2","0","",""
"江東区","4","4","0","3","0","0","0","",""
"品川区","40","3","5","9","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","",""
"大田区","0","0","0","0","0","3","0","",""
"世田谷","0","0","0","0","0","2","0","",""
"渋谷区","6","1","1","4","0","1","0","",""
"中野区","3","0","0","3","0","0","0","",""
"杉並","2","0","0","0","0","2","0","",""
"豊島区","3","3","2","1","0","0","0","",""
"北区","1","0","1","1","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","",""
"板橋区","0","0","3","0","0","3","0","",""
"練馬区","0","0","0","0","0","0","0","",""
"足立","0","0","0","1","0","0","0","",""
"葛飾区","0","0","0","0","0","2","1","",""
"江戸川","1","1","0","3","0","0","0","",""
"八王子市","0","0","0","0","0","1","0","",""
"町田市","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","4","0","",""
"南多摩","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","1","0","",""
"多摩府中","0","0","0","0","0","1","1","",""
"多摩小平","0","0","0","0","0","1","0","",""
"島しょ","0","0","0","0","0","0","0","",""
"合計","109","37","38","39","1","29","3","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年6月"
"集計期間終了月","2026年6月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","",""
"中央区","0","0","0","0","1","0","0","",""
"みなと","0","0","1","0","0","1","0","",""
"新宿区","20","4","3","5","2","6","1","",""
"文京","0","0","0","0","0","1","0","",""
"台東","8","1","5","4","0","0","0","",""
"墨田区","3","0","1","0","1","2","0","",""
"江東区","0","0","0","0","0","0","0","",""
"品川区","16","0","1","2","1","0","0","",""
"目黒区","0","0","0","0","0","0","0","",""
"大田区","0","0","0","0","0","4","0","",""
"世田谷","0","0","0","0","0","2","0","",""
"渋谷区","5","6","2","0","0","0","0","",""
"中野区","0","0","0","0","1","0","0","",""
"杉並","1","0","0","0","0","3","0","",""
"豊島区","3","4","0","0","0","0","0","",""
"北区","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","",""
"板橋区","1","0","1","1","0","1","0","",""
"練馬区","0","0","0","0","0","0","0","",""
"足立","1","2","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","0","",""
"江戸川","3","2","1","1","0","0","0","",""
"八王子市","11","2","0","1","1","1","0","",""
"町田市","0","0","0","0","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","",""
"多摩立川","4","2","0","0","0","0","0","",""
"多摩府中","0","0","0","1","0","1","0","",""
"多摩小平","0","0","0","0","0","3","0","",""
"島しょ","0","0","0","0","0","0","0","",""
"合計","76","23","15","15","8","25","1","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2026年6月"
"集計期間終了月","2026年6月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","STD定点","基幹定点"
"千代田","1","1","1","2","0","1","0","2","2"
"中央区","2","6","2","1","1","0","0","3","0"
"みなと","10","6","8","4","0","1","0","2","1"
"新宿区","49","14","17","9","3","9","2","7","2"
"文京","5","0","1","2","0","3","0","1","1"
"台東","8","3","5","5","0","0","0","2","0"
"墨田区","5","0","2","0","1","4","0","2","1"
"江東区","4","4","0","3","0","0","0","2","0"
"品川区","56","3","6","11","1","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0"
"大田区","0","0","0","0","0","7","0","2","1"
"世田谷","0","0","0","0","0","4","0","0","2"
"渋谷区","11","7","3","4","0","1","0","5","1"
"中野区","3","0","0","3","1","0","0","2","0"
"杉並","3","0","0","0","0","5","0","2","2"
"豊島区","6","7","2","1","0","0","0","3","1"
"北区","1","0","1","1","0","0","0","1","0"
"荒川区","0","0","0","0","0","0","0","1","0"
"板橋区","1","0","4","1","0","4","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0"
"足立","1","2","0","1","0","0","0","2","0"
"葛飾区","0","0","0","0","0","2","1","0","1"
"江戸川","4","3","1","4","0","0","0","2","0"
"八王子市","11","2","0","1","1","2","0","4","1"
"町田市","0","0","0","0","1","0","0","1","0"
"西多摩","0","0","0","0","0","4","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0"
"多摩立川","4","2","0","0","0","1","0","2","1"
"多摩府中","0","0","0","1","0","2","1","3","3"
"多摩小平","0","0","0","0","0","4","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","1"
"合計","185","60","53","54","9","54","4","55","25"


