"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","19","6","0","0","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","27","8","1","0","29","0","5","0","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","8","46","16","19","0","61","0","14","0","8","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","8","27","6","7","4","31","0","12","1","4","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","6","20","1","16","12","31","0","13","1","3","14","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","7","26","0","15","17","20","0","5","0","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","12","28","0","5","16","23","0","5","1","1","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","12","23","0","6","13","24","1","3","1","1","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","10","23","0","2","12","18","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","7","25","0","0","11","14","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","13","19","0","1","5","12","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","25","199","0","2","12","37","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","16","95","0","0","1","8","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"20〜29歳","19","290","0","1","7","20","1","1","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","20","249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","13","259","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","9","272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"合計","191","1954","37","75","110","331","10","65","4","22","65","4","1","3","0","7","1","0","2","0","0","2","0","0","1","0","0","1","1"
