"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","2","18","3","0","8","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","15","36","4","2","62","1","3","0","5","28","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","9","18","83","25","9","109","2","31","0","20","121","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","6","20","44","17","17","100","0","11","0","7","107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","17","10","27","7","28","120","0","17","1","1","88","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","23","6","12","9","37","122","3","12","0","1","96","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","35","15","3","6","42","106","1","9","0","1","57","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","31","4","1","1","38","95","1","2","2","1","25","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","35","20","0","1","25","72","1","0","2","1","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","25","15","1","2","27","77","1","1","1","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","22","19","0","0","13","42","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","100","157","0","1","23","79","5","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","24","142","0","0","4","10","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","8","159","0","0","7","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","11","129","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","15","168","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","5","155","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","3","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","372","1227","225","76","272","1038","16","88","6","37","548","20","10","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
