"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","112","63","175","54"
"性器ヘルペスウイルス感染症","35","31","66","54"
"尖圭コンジローマ","64","20","84","54"
"淋菌感染症","66","19","85","54"
"膣トリコモナス症","1","3","4","54"
"梅毒様疾患","0","0","0","54"
"メチシリン耐性黄色ブドウ球菌感染症","31","17","48","25"
"ペニシリン耐性肺炎球菌感染症","3","1","4","25"
"薬剤耐性緑膿菌感染症","1","0","1","25"
