"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","16","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","20","0","0","0","21","2","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","50","1","0","9","11","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","57","4","1","1","17","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","","","","","",""
"文京","23","0","0","2","16","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","13","0","0","1","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","45","0","1","7","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","57","1","0","7","32","0","0","4","2","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","36","0","0","2","21","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","22","1","0","3","14","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","90","1","0","16","63","4","2","2","3","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","160","3","1","11","33","3","1","13","2","1","0","0","0","0","0","0","0","0","0","0","6","","","","","",""
"渋谷区","25","0","2","1","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","57","0","0","7","16","0","0","4","3","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"杉並","49","1","0","6","24","3","0","2","1","0","0","0","0","0","0","0","0","0","0","0","8","","","","","",""
"池袋","23","1","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","",""
"北区","62","0","0","3","12","1","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","43","1","0","6","11","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","67","0","2","3","19","2","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","118","0","0","24","41","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","80","1","1","11","21","1","0","4","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","90","1","0","4","20","3","3","2","1","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"江戸川","96","0","0","12","42","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","125","3","4","10","34","3","0","6","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","87","1","0","4","32","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","69","0","1","4","11","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","90","0","0","3","18","4","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","128","1","0","14","28","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","208","3","2","16","81","9","1","12","7","0","2","1","0","0","0","0","0","0","0","1","2","","","","","",""
"多摩小平","134","4","3","22","34","1","0","7","5","0","0","0","0","0","0","0","1","0","0","2","7","","","","","",""
"島しょ","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2176","28","19","210","707","43","8","89","39","2","5","4","0","0","2","0","1","0","0","4","28","","","","","",""
