"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","0","5","0","0"
"1〜4歳","0","0","0","0","0","0","3","13","3","0"
"5〜9歳","0","0","0","0","0","0","2","1","0","0"
"10〜14歳","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","17","1","3","1","1","0","1","0","0","0"
"20〜24歳","40","6","10","10","2","1","1","0","0","0"
"25〜29歳","43","20","12","12","1","1","0","2","0","0"
"30〜34歳","34","18","16","12","1","2","3","2","0","0"
"35〜39歳","24","18","11","13","1","5","2","0","0","0"
"40〜44歳","18","15","6","9","1","1","0","0","0","0"
"45〜49歳","14","13","7","9","2","1","3","0","0","0"
"50〜54歳","4","5","2","3","0","0","1","0","0","0"
"55〜59歳","0","3","0","0","0","0","3","0","0","0"
"60〜64歳","2","2","2","0","0","2","2","4","1","0"
"65〜69歳","0","3","3","1","0","0","6","2","0","0"
"70歳以上","0","5","0","0","0","0","31","25","1","0"
"合計","197","109","72","70","9","13","58","54","5","0"
