"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","8","58","10","0","0","3","0","2","0","1","4","1","0","0","0","0","0","0","0","0","0","0","4","3","0","2","2","0"
"中央区","12","14","1","0","1","19","1","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","13","54","35","1","10","15","4","5","0","3","43","1","0","0","0","0","0","0","0","0","0","0","9","6","0","1","1","0"
"新宿区","1","73","31","5","4","15","0","1","0","0","21","1","0","0","0","1","0","0","0","0","0","0","11","7","2","2","2","0"
"文京","2","48","3","0","3","12","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","6","36","6","1","6","36","0","9","0","0","64","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","11","143","14","0","6","11","0","2","0","3","46","0","2","1","0","0","0","0","1","0","0","0","8","5","1","1","1","0"
"江東区","20","86","8","0","15","68","0","9","0","2","35","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","27","54","21","1","6","14","1","3","0","1","45","0","0","0","0","1","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","19","48","16","3","3","9","0","2","0","1","24","1","1","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","57","134","65","7","10","91","0","15","0","6","111","2","0","0","0","0","0","0","0","0","0","0","21","13","2","1","1","0"
"世田谷","52","190","45","2","31","73","4","10","0","5","126","2","2","0","0","1","0","1","0","0","0","1","25","16","2","2","2","0"
"渋谷区","17","59","8","3","1","17","1","2","0","1","7","0","0","0","0","1","0","0","0","0","0","0","7","4","1","1","1","0"
"中野区","4","103","12","1","22","29","0","0","0","6","60","0","0","0","0","1","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","5","134","20","5","10","30","5","4","0","5","31","1","0","0","0","0","0","0","0","0","0","0","17","11","1","2","2","0"
"池袋","3","99","24","2","1","7","0","1","0","0","24","0","0","0","0","2","0","0","0","0","0","0","8","5","1","1","1","0"
"北区","22","121","17","3","6","31","0","28","0","1","58","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","13","56","48","5","11","30","0","0","0","1","27","1","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","18","139","24","3","7","28","5","10","0","2","87","0","0","0","0","0","0","0","0","0","0","0","16","10","2","1","1","0"
"練馬区","13","140","29","4","16","49","1","5","1","3","158","1","2","0","0","0","0","0","0","0","0","0","20","12","2","0","0","0"
"足立","8","158","21","9","6","57","1","10","1","8","98","2","3","0","0","0","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","4","98","5","1","4","43","0","5","0","3","49","0","0","0","1","1","0","0","0","0","0","0","13","8","1","1","1","0"
"江戸川","11","146","26","2","16","64","0","3","1","1","79","0","0","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","2","135","45","2","28","102","1","23","0","3","161","3","1","1","0","2","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","15","74","6","0","7","45","0","9","1","1","82","1","0","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","8","77","2","0","6","17","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","1","86","29","4","9","22","0","10","0","2","54","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","3","130","22","6","36","68","1","4","9","2","136","1","0","0","0","0","0","0","0","0","0","0","21","14","2","1","1","0"
"多摩府中","68","256","50","12","32","93","2","27","0","12","232","2","4","3","0","2","0","0","0","0","0","0","33","21","3","3","3","0"
"多摩小平","63","144","61","10","31","66","8","7","1","6","164","1","1","0","0","0","0","0","0","0","0","1","22","14","2","2","2","0"
"島しょ","1","59","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","507","3152","704","92","346","1164","35","207","14","79","2088","21","16","5","1","12","0","1","1","0","0","2","416","261","39","25","25","0"
