"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","13","10","2","17","35","2","24","0","3","10","1","1","0","0","2","0","0","2","1","0","0","","","","","",""
"区南部","9","14","4","14","30","1","28","4","10","12","2","1","1","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","31","40","1","19","30","2","41","2","6","5","1","0","1","0","1","0","0","1","0","0","0","","","","","",""
"区西部","22","24","1","17","35","4","11","2","2","3","3","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","20","12","3","25","42","7","17","1","6","29","1","1","0","0","1","0","0","1","1","0","0","","","","","",""
"区東北部","17","22","0","12","38","7","13","7","9","23","1","2","0","0","1","0","0","0","0","0","1","","","","","",""
"区東部","12","24","2","12","32","3","19","1","9","9","1","1","0","0","0","0","1","2","0","0","0","","","","","",""
"西多摩","1","2","1","3","6","0","8","1","1","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","19","32","7","28","47","2","45","2","4","14","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","9","9","1","5","14","1","11","0","2","10","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","15","20","2","9","14","3","21","2","8","9","2","1","1","0","1","0","0","2","1","0","1","","","","","",""
"北多摩北部","38","19","13","10","16","3","32","3","7","15","1","1","1","0","1","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","206","228","37","171","339","35","274","26","67","146","15","10","4","0","8","0","1","8","3","0","2","","","","","",""
