"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","0","2","0","0"
"中央区","0","0","0","1","11","7","1","1","2","0","0","6","0","0","1","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"みなと","0","0","0","1","0","7","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","7","6","1","1","0","0"
"新宿区","0","0","0","4","40","6","1","2","3","0","0","1","0","0","4","0","0","12","0","0","0","0","0","0","7","6","2","2","0","0"
"文京","0","0","0","3","6","3","0","0","2","0","0","0","0","2","0","0","0","4","0","0","0","0","0","1","4","3","1","1","0","0"
"台東","0","0","0","3","25","6","3","4","4","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"墨田区","0","0","1","0","8","2","0","0","1","0","0","0","0","2","0","0","0","0","0","0","2","0","0","6","4","3","0","1","0","0"
"江東区","0","0","0","7","12","5","1","2","2","0","1","3","1","3","0","0","0","0","0","0","0","0","0","0","4","3","1","0","0","0"
"品川区","1","0","1","4","32","10","1","6","5","0","0","10","0","1","1","0","0","0","0","0","0","0","0","0","7","6","0","0","0","0"
"目黒区","0","0","0","10","5","1","0","1","2","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"大田区","0","0","2","11","35","13","5","14","7","0","0","7","0","7","2","0","0","2","0","0","0","0","0","1","10","9","1","1","0","0"
"世田谷","2","0","0","9","65","9","4","3","7","0","0","7","0","5","1","0","0","0","0","0","0","0","0","0","9","8","0","2","0","0"
"渋谷区","0","0","3","1","18","2","9","1","2","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","5","4","1","2","0","0"
"中野区","0","0","1","1","72","5","1","2","5","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","7","6","0","1","0","0"
"杉並","1","0","0","2","25","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","7","6","0","1","0","0"
"池袋","0","0","0","0","0","4","0","1","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","5","4","1","1","0","0"
"長崎","0","0","0","0","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"北区","0","0","0","6","8","7","1","3","4","0","0","7","1","3","1","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0"
"荒川区","0","0","0","0","2","2","2","0","1","0","0","3","0","1","0","0","0","2","0","0","0","0","0","0","3","2","1","0","0","0"
"板橋区","0","0","0","5","8","3","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","7","6","0","1","0","0"
"練馬区","0","0","0","7","19","15","2","3","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","6","5","0","0","0","0"
"足立","0","0","0","3","14","9","0","1","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0"
"葛飾区","0","0","0","8","13","6","8","0","5","0","0","12","1","9","4","0","0","0","0","0","0","0","0","0","5","4","0","1","0","0"
"江戸川","1","0","0","16","18","12","4","0","5","0","0","6","10","3","0","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0"
"八王子","0","0","0","1","7","3","4","1","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","3","2","1","1","0","0"
"秋川","0","0","2","9","4","1","3","0","1","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0"
"町田市","0","0","1","0","26","6","0","0","1","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0"
"多摩川","0","0","0","1","8","11","9","12","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","4","3","0","1","0","0"
"南多摩","0","0","0","0","19","3","2","6","2","0","0","7","0","3","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"多摩立川","0","0","0","3","8","7","4","4","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","5","4","0","1","0","0"
"村山大和","0","0","0","4","9","2","0","0","1","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","3","2","1","0","0","0"
"府中小金井","0","0","0","0","3","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","1","0","0"
"狛江調布","0","0","0","2","6","9","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"三鷹武蔵野","0","0","0","4","6","4","0","2","4","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","5","4","2","1","0","0"
"多摩小平","0","0","0","7","30","4","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","1","0","0"
"多摩東村山","0","0","0","5","31","6","4","3","0","0","0","1","0","2","2","0","0","0","0","0","0","0","0","0","4","3","0","2","0","0"
"島しょ","0","0","0","0","2","13","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0"
"合計","5","0","11","138","602","208","72","73","77","2","3","108","18","76","20","0","0","26","0","0","2","0","0","8","178","142","14","25","0","0"
