"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","4","5","11","26","9","136","3","7","0","21","3","0","0","0","0","0","0","0","0","0","","","","","",""
"区南部","0","3","8","17","70","12","56","2","6","0","39","2","5","1","0","1","0","0","0","0","0","","","","","",""
"区西南部","0","0","8","16","34","13","86","1","6","0","43","2","3","1","1","0","0","0","0","0","0","","","","","",""
"区西部","0","4","9","13","27","5","130","2","4","0","24","0","3","0","0","1","0","0","0","0","1","","","","","",""
"区西北部","0","0","14","14","52","12","222","3","13","0","56","5","3","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","5","8","13","57","8","171","0","7","0","47","11","2","0","0","0","0","0","0","0","0","","","","","",""
"区東部","3","0","15","26","69","24","93","1","8","0","45","17","3","1","0","4","1","0","0","0","0","","","","","",""
"西多摩","0","0","1","11","9","7","26","0","2","0","4","3","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","2","9","51","79","21","335","5","14","0","104","6","4","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","2","10","21","9","79","0","1","0","24","2","1","0","0","1","0","0","0","0","0","","","","","",""
"北多摩南部","1","0","4","15","41","18","111","0","9","1","62","3","4","0","0","1","1","0","1","0","0","","","","","",""
"北多摩北部","0","2","15","18","37","8","136","0","6","0","42","1","2","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","4","20","99","215","522","146","1581","17","83","1","511","55","30","3","1","8","2","0","1","0","1","","","","","",""
