"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","12","14","1","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","1","0","0","0","4"
"〜1歳","31","47","4","0","1","64","0","0","1","12","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0"
"1歳","91","66","15","11","14","130","4","3","0","19","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0"
"2歳","134","36","8","10","40","111","3","0","0","5","0","1","1","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1"
"3歳","175","39","2","10","52","126","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"4歳","241","35","1","10","88","133","4","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","325","45","0","6","99","115","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1"
"6歳","444","38","0","11","120","120","8","2","1","0","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","2"
"7歳","616","33","0","9","87","107","11","1","2","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0"
"8歳","618","33","0","1","88","92","8","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"9歳","716","29","0","5","76","73","8","1","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","0","0","1","1","0","0","2"
"10〜14歳","2186","178","0","2","131","187","13","0","1","0","0","3","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","1","0","0","2","4"
"15〜19歳","496","118","0","0","14","35","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","4","0","0","0","1"
"20〜29歳","213","200","0","2","36","185","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"30〜39歳","286","263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","0","0","0","0","0","1","0","0","1","7"
"40〜49歳","260","282","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","6","0","0","0","0","0","1","0","2","1","4"
"50〜59歳","74","315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","2","0","10"
"60〜69歳","27","175","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","20","0","0","0","0","0","1","0","1","0","19"
"70〜79歳","12","145","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","43","0","0","0","0","0","1","0","4","0","39"
"80歳以上","7","113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","70","1","0","1","1","0","1","1","14","0","56"
"合計","6964","2204","31","77","846","1492","65","10","14","41","1","8","3","1","0","7","0","0","0","0","0","23","180","3","2","3","1","0","17","3","24","4","155"
