"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","28","1","1201","11","0","0","22","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","6","0","0","0","1"
"〜1歳","119","6","*","6","3","2","104","0","0","0","8","0","0","2","1","0","0","0","0","0","0","0","4","1","0","0","0","0","0","4","0","0","0","1"
"1歳","423","8","8331","20","14","18","192","1","4","1","23","4","0","2","2","0","1","0","0","1","0","0","5","0","0","0","2","0","1","3","2","0","0","0"
"2歳","444","6","*","10","10","37","149","4","4","3","15","0","1","2","2","0","0","0","0","0","0","0","2","1","0","0","1","0","0","1","1","0","0","1"
"3歳","557","3","*","5","7","40","139","3","1","4","3","0","2","3","0","0","0","0","0","1","0","0","5","1","0","0","1","0","0","4","1","0","0","1"
"4歳","591","0","*","1","4","58","111","4","0","2","4","0","1","0","0","0","0","0","0","1","0","0","3","0","0","0","1","0","0","2","1","0","0","0"
"5歳","616","7","6914","1","4","74","115","11","0","2","0","0","1","0","1","0","1","0","0","2","0","0","8","0","1","0","3","0","1","4","3","0","0","0"
"6歳","621","3","*","1","5","65","97","3","0","4","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","562","2","*","0","7","75","104","6","0","2","0","0","1","0","0","0","2","0","0","1","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"8歳","486","6","*","0","1","69","83","8","0","1","1","1","1","1","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","3","0","0","0","0"
"9歳","450","4","*","0","4","65","79","10","0","0","0","0","3","1","0","0","0","0","0","1","0","0","3","0","1","1","0","0","0","2","0","0","0","0"
"10〜14歳","1716","10","3735","1","1","116","205","40","0","1","0","0","2","1","0","0","1","0","0","7","0","0","6","1","1","0","2","2","1","2","3","0","0","1"
"15〜19歳","776","7","1489","0","0","17","53","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"20〜29歳","906","21","1789","1","2","27","136","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"30〜39歳","681","25","1705","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"40〜49歳","604","22","1665","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","2","0","1","0","0","0","0","1","0","0","0","0"
"50〜59歳","474","25","1315","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","3","3","0","0","0","0","0","3","0","0","0","3"
"60〜69歳","269","20","888","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","9","3","0","0","1","1","0","8","1","0","0","3"
"70〜79歳","112","15","668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","5","2","1","2","0","0","9","2","0","0","5"
"80歳以上","60","23","370","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","18","5","1","2","0","0","31","2","1","1","16"
"合計","10495","214","30070","57","62","663","1589","93","9","20","54","5","12","13","6","0","15","0","0","22","0","0","113","34","11","3","15","3","3","88","16","1","1","32"
