"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","0","0","5","31","1","0","1","8","1","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区南部","0","1","5","1","28","1","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","0","0","4","24","0","0","0","4","1","0","2","1","0","1","0","1","0","0","0","0","","","","","",""
"区西部","0","0","1","11","18","0","1","0","9","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","0","0","0","6","38","0","0","0","11","2","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","3","6","23","1","1","0","12","1","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区東部","0","0","0","9","36","2","1","0","4","2","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","0","3","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","0","13","31","5","0","0","4","1","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","1","4","10","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","1","0","0","3","16","1","0","0","6","0","0","1","1","0","1","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","1","5","23","1","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1","1","11","70","286","12","4","2","76","9","9","4","2","0","6","0","1","0","0","0","0","","","","","",""
