"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","11","66","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","3","0","2","2","0"
"中央区","14","58","0","0","2","6","0","5","0","0","1","0","0","0","0","1","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","18","107","6","8","13","9","1","6","1","1","3","0","0","0","0","0","0","0","1","0","0","1","9","6","0","1","1","0"
"新宿区","17","114","1","7","6","15","0","1","1","1","1","0","0","1","0","2","0","0","0","0","0","1","11","7","2","2","2","0"
"文京","7","57","0","6","3","5","1","4","0","1","3","0","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","10","58","1","3","0","25","0","14","0","1","5","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","12","224","1","2","1","5","0","2","0","1","2","0","0","0","0","0","0","0","0","0","0","3","8","5","1","1","1","0"
"江東区","29","205","1","10","9","44","1","3","0","1","4","0","0","0","0","1","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","17","124","1","8","10","20","0","10","0","0","3","0","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","22","72","2","8","5","20","0","4","1","2","7","0","1","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","40","249","5","11","11","46","3","13","0","2","14","0","1","0","0","0","0","0","0","0","0","0","20","12","2","1","1","0"
"世田谷","26","359","19","61","16","44","3","11","0","1","17","0","1","0","0","5","0","1","0","0","0","1","23","14","2","2","2","0"
"渋谷区","7","66","3","0","1","16","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","2","7","4","0","1","1","0"
"中野区","13","112","0","1","12","20","0","2","0","3","3","0","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","23","251","3","4","9","36","10","1","0","3","0","0","1","1","0","0","0","0","0","0","0","0","17","11","1","2","2","0"
"池袋","12","148","3","6","1","1","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","8","5","1","1","1","0"
"北区","31","204","0","11","9","12","2","9","0","4","7","0","1","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","26","110","1","1","5","13","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","10","202","2","0","6","21","0","5","0","1","5","0","0","0","0","0","0","0","0","0","0","1","16","10","2","1","1","0"
"練馬区","30","304","2","6","7","42","0","4","2","8","8","0","1","0","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","21","225","7","3","9","42","1","8","0","3","7","0","1","1","0","0","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","15","205","0","8","13","27","0","5","1","0","2","0","0","0","0","2","0","0","0","0","0","0","13","8","1","1","1","0"
"江戸川","18","325","4","24","15","31","0","8","0","1","4","0","0","0","0","0","0","0","0","0","0","0","18","11","2","0","0","0"
"八王子市","22","271","7","14","13","63","1","11","0","6","20","0","1","0","0","4","0","0","0","0","0","1","18","11","2","1","1","0"
"町田市","18","180","0","3","8","53","0","7","0","0","12","1","0","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","1","105","0","0","4","12","1","10","0","0","1","0","0","0","0","0","0","0","0","0","0","0","13","7","1","1","1","0"
"南多摩","10","175","1","1","1","30","1","3","0","3","4","0","0","0","0","1","0","0","0","0","0","0","12","7","1","0","0","0"
"多摩立川","28","330","4","4","27","22","0","28","1","4","13","1","1","0","0","0","0","0","0","0","0","0","21","14","2","1","1","0"
"多摩府中","23","596","6","5","32","59","0","15","0","3","14","0","3","0","0","2","0","0","0","0","0","0","33","21","3","3","3","0"
"多摩小平","43","414","5","6","22","94","4","12","1","9","10","0","0","0","0","1","0","0","0","0","0","2","22","14","2","2","2","0"
"島しょ","2","40","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","576","5956","85","222","270","834","29","206","8","59","181","2","12","3","0","22","0","1","1","0","0","12","410","255","38","25","25","0"
