"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","10","23","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","","","","","",""
"中央区","18","13","0","1","7","16","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","56","28","0","0","7","29","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","","","","","",""
"新宿区","52","45","0","0","9","18","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"文京","70","31","0","0","9","12","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"台東","31","17","0","0","8","38","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","56","65","0","1","3","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"江東区","74","42","0","0","11","28","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","99","53","1","1","14","28","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","65","23","0","0","9","7","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","240","76","0","4","24","58","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","7","","","","","",""
"世田谷","242","67","1","1","13","69","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","3","5","","","","","",""
"渋谷区","42","19","0","0","0","11","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","5","","","","","",""
"中野区","136","61","0","0","22","31","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","133","69","1","6","11","32","6","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","6","","","","","",""
"池袋","49","58","0","1","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","84","60","1","0","36","25","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","104","37","0","1","6","26","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","115","79","0","0","11","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"練馬区","249","122","0","0","18","52","2","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","143","119","0","6","28","42","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"葛飾区","150","79","0","1","9","15","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江戸川","221","119","0","3","30","64","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","295","112","3","5","34","63","0","1","0","3","0","0","0","0","0","1","0","0","0","0","0","0","2","","","","","",""
"町田市","146","66","0","0","11","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","109","62","0","0","7","30","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"南多摩","110","60","0","0","5","31","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩立川","276","122","1","2","39","37","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","434","166","1","5","48","83","1","0","2","2","1","2","2","0","0","0","0","0","0","0","0","4","15","","","","","",""
"多摩小平","343","109","1","6","39","94","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","2","6","","","","","",""
"島しょ","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","4152","2042","10","44","469","1017","22","10","11","24","1","7","4","1","0","7","0","1","2","0","0","9","69","","","","","",""
