"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","1","6","5","24","3","11","3","7","0","59","1","0","0","0","2","0","0","0","0","0","","","","","",""
"区南部","0","1","21","22","66","3","8","1","15","2","64","7","8","0","1","1","0","0","0","0","0","","","","","",""
"区西南部","0","3","5","26","59","16","32","3","6","0","46","2","7","0","0","1","0","1","2","0","0","","","","","",""
"区西部","1","1","1","21","49","10","1","1","7","0","67","3","0","1","0","0","0","0","1","0","0","","","","","",""
"区西北部","0","1","5","12","52","13","11","2","8","0","125","5","4","0","0","1","0","0","2","0","1","","","","","",""
"区東北部","12","0","9","17","69","10","24","1","17","0","118","1","0","0","0","1","0","0","5","0","0","","","","","",""
"区東部","0","1","15","45","92","18","11","3","6","0","144","3","2","0","0","2","0","1","0","0","0","","","","","",""
"西多摩","0","0","2","8","11","5","1","1","3","1","19","0","1","1","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","4","2","45","112","21","30","7","19","0","140","8","3","0","0","1","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","1","24","19","6","7","3","2","0","52","6","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","1","4","28","55","13","4","3","6","3","66","3","5","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","2","10","16","29","9","7","1","3","1","91","2","1","1","0","0","0","0","1","0","0","","","","","",""
"島しょ","0","0","0","2","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","13","15","81","271","637","128","147","29","100","7","991","42","31","3","1","9","0","2","11","0","1","","","","","",""
