"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","44","30","22","25","0","1","10","3","0","0","",""
"区南部","4","3","2","6","0","0","0","0","0","0","",""
"区西南部","9","5","2","4","0","1","4","0","0","0","",""
"区西部","48","21","0","27","0","5","10","0","1","0","",""
"区西北部","14","3","7","8","0","0","6","2","0","0","",""
"区東北部","2","0","0","1","0","0","4","8","1","0","",""
"区東部","11","1","2","6","0","0","3","1","1","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","1","0","",""
"北多摩西部","1","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","1","0","0","0","0","0","17","1","0","0","",""
"北多摩北部","0","0","0","0","0","0","2","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","134","63","35","77","0","7","56","16","4","0","",""
