"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","2","3","12","35","28","1","4","10","0","0","2","1","2","2","0","0","2","0","0","0","0","0","","","","","",""
"区南部","1","0","11","29","41","16","1","3","8","0","0","0","2","5","0","0","0","1","0","0","0","0","0","","","","","",""
"区西南部","2","0","1","15","37","13","2","3","2","0","0","0","1","1","1","0","0","1","0","0","0","0","0","","","","","",""
"区西部","0","0","8","39","73","13","2","1","7","0","1","1","2","1","0","0","0","0","0","0","0","0","6","","","","","",""
"区西北部","0","0","3","18","22","11","3","4","9","0","0","3","4","4","1","0","0","1","0","0","0","0","0","","","","","",""
"区東北部","2","0","8","8","38","15","4","1","3","0","0","0","3","3","0","1","0","1","0","0","0","0","0","","","","","",""
"区東部","1","0","16","22","43","10","1","4","11","0","0","2","1","2","0","0","0","0","0","0","0","0","4","","","","","",""
"西多摩","0","0","1","7","12","9","0","4","2","0","0","1","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"南多摩","7","0","3","54","66","27","1","3","11","0","0","3","3","6","2","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","1","0","0","0","4","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","2","0","0","7","19","3","0","2","3","0","0","1","1","1","0","0","0","1","0","0","0","0","0","","","","","",""
"北多摩北部","5","0","2","7","21","6","0","3","1","0","0","0","0","1","0","0","0","3","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","22","2","56","218","413","152","16","33","67","0","1","13","18","27","7","1","0","12","0","0","0","0","10","","","","","",""
