"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","123","74","197","55"
"性器ヘルペスウイルス感染症","33","24","57","55"
"尖圭コンジローマ","55","32","87","55"
"淋菌感染症","55","27","82","55"
"膣トリコモナス症","0","13","13","55"
"梅毒様疾患","0","0","0","55"
"メチシリン耐性黄色ブドウ球菌感染症","35","26","61","25"
"ペニシリン耐性肺炎球菌感染症","3","3","6","25"
"薬剤耐性緑膿菌感染症","0","0","0","25"
