"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","17","4","2","12","0","0","0","0","0","2","2"
"中央区","12","1","0","1","0","0","0","0","0","3","0"
"みなと","13","4","3","3","0","0","13","0","0","2","1"
"新宿区","56","35","39","38","0","2","42","14","0","6","2"
"文京","4","0","1","4","0","0","8","2","0","1","1"
"台東","23","5","0","3","2","0","0","0","0","3","0"
"墨田区","3","0","3","2","0","0","8","8","0","2","1"
"江東区","16","7","8","11","2","1","0","0","0","2","0"
"品川区","0","0","0","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","3","0","0","2","0","0","1","0","0","2","1"
"世田谷","0","0","0","0","0","0","4","1","0","0","2"
"渋谷区","11","7","12","3","1","1","1","0","0","5","1"
"中野区","10","1","0","5","1","0","0","0","0","2","1"
"杉並","3","0","0","1","0","0","26","1","0","2","1"
"池袋","23","8","13","10","1","0","8","7","0","3","1"
"北区","0","0","1","0","0","0","0","0","0","1","0"
"荒川区","1","0","0","1","0","0","0","0","0","1","0"
"板橋区","7","2","0","4","0","0","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","1","1","2","5","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","11","14","0","0","1"
"江戸川","21","3","4","2","1","1","0","0","0","2","0"
"八王子市","17","1","4","1","3","0","1","0","0","4","1"
"町田市","1","0","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","23","2","1","1","0","0","0","0","0","2","1"
"多摩府中","3","0","0","0","0","0","2","0","0","3","2"
"多摩小平","2","0","0","0","0","0","19","14","0","1","2"
"島しょ","0","0","0","0","0","0","2","0","0","0","1"
"合計","270","81","93","109","11","5","146","61","0","55","24"
