"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","3","0","0"
"1〜4歳","0","0","0","0","0","0","6","8","0","0"
"5〜9歳","0","0","0","0","0","0","1","2","0","0"
"10〜14歳","0","0","0","0","0","0","3","0","0","0"
"15〜19歳","1","1","0","1","0","0","0","0","0","0"
"20〜24歳","15","3","4","16","0","1","0","0","0","0"
"25〜29歳","25","5","7","18","0","1","1","0","0","0"
"30〜34歳","25","12","12","17","1","1","1","3","0","0"
"35〜39歳","14","12","8","10","0","0","2","0","0","0"
"40〜44歳","8","5","8","9","0","0","0","0","0","0"
"45〜49歳","9","8","8","5","1","0","1","1","0","0"
"50〜54歳","8","6","2","1","0","1","0","1","0","0"
"55〜59歳","2","4","1","1","0","0","3","1","0","0"
"60〜64歳","0","1","2","1","0","0","6","0","0","0"
"65〜69歳","1","2","0","0","0","0","3","2","0","0"
"70歳以上","0","6","1","0","0","0","24","8","0","0"
"合計","108","65","53","79","2","4","57","29","0","0"
