"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","36","88","31","6","14","62","4","7","0","2","57","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区南部","25","96","41","3","26","70","0","8","0","1","104","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","26","114","31","4","20","64","7","6","0","2","98","1","1","0","0","1","0","0","0","0","0","2","","","","","",""
"区西部","6","116","26","2","25","61","0","1","1","2","58","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","31","216","35","7","18","83","4","17","2","1","127","1","4","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","18","97","44","10","13","90","0","11","0","1","79","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","32","135","33","2","18","86","0","12","0","3","60","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","26","0","0","4","6","0","0","0","0","29","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","11","121","35","17","31","129","2","14","0","5","176","4","2","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","3","64","23","0","34","34","0","10","0","2","44","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","20","91","30","7","26","66","3","15","0","3","91","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","15","63","29","5","17","84","2","12","0","3","124","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","25","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","223","1252","358","63","247","835","22","113","3","25","1047","11","11","1","0","3","0","0","0","0","0","2","","","","","",""
