"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","9","0","0","0","11","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","34","0","0","0","35","0","0","0","27","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"1歳","134","0","0","2","91","33","0","4","13","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"2歳","153","0","1","2","103","20","0","2","1","0","2","0","1","6","1","0","0","0","0","0","0","0","0","0"
"3歳","205","0","2","10","101","27","3","6","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"4歳","163","0","0","9","117","33","2","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0"
"5歳","169","0","0","18","104","17","2","5","1","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0"
"6歳","134","0","0","20","91","11","0","4","1","0","0","1","0","10","0","0","0","0","0","0","0","0","0","0"
"7歳","104","0","0","13","94","3","0","5","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0"
"8歳","103","0","0","3","69","7","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0"
"9歳","90","0","0","5","50","4","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","323","0","0","6","99","2","0","0","0","0","1","0","0","6","1","0","0","0","0","0","1","0","0","0"
"15〜19歳","94","0","0","2","36","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"20〜29歳","210","0","0","3","193","0","0","0","0","0","0","3","0","1","0","0","0","5","1","0","0","0","0","1"
"30〜39歳","285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"40〜49歳","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
"50〜59歳","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60〜69歳","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"70〜79歳","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2464","0","3","93","1194","157","7","26","47","0","3","8","1","65","6","0","0","20","1","0","1","0","0","1"
