"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","1","1","1","0","5","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"〜1歳","10","3","0","0","34","8","0","0","25","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"1歳","28","5","1","0","78","23","0","0","9","0","0","0","0","2","2","1","0","0","0","0","0","0","0"
"2歳","28","2","1","6","50","16","0","1","0","0","0","0","0","4","1","1","0","0","0","0","0","0","0"
"3歳","43","2","1","9","46","14","3","6","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0"
"4歳","32","0","2","13","46","13","0","2","0","0","0","0","0","15","1","1","0","0","0","0","0","0","0"
"5歳","43","0","1","15","30","9","0","5","1","0","0","0","0","10","0","0","0","0","0","0","0","0","0"
"6歳","30","0","2","8","29","3","0","4","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0"
"7歳","30","0","1","5","18","5","0","3","0","0","0","0","0","6","0","0","0","0","0","0","2","0","0"
"8歳","19","0","0","3","28","2","0","1","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0"
"9歳","15","0","1","1","20","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"10〜14歳","65","0","0","6","57","4","0","4","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0"
"15〜19歳","31","0","1","0","28","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0"
"20〜29歳","50","4","1","8","93","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"30〜39歳","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"40〜49歳","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"50〜59歳","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"70〜79歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","585","17","13","74","562","99","3","31","36","0","0","0","0","65","9","3","0","8","1","1","3","0","0"
