"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","2","4","0","0","9","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","13","5","2","4","53","4","8","0","12","1","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","52","8","19","9","125","5","65","2","29","2","0","2","0","0","0","0","0","0","0","0","4","0","0","0","0","0","4","0"
"2歳","33","8","10","20","95","5","53","2","9","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"3歳","44","2","14","25","72","3","31","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","79","2","14","59","84","7","32","4","3","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"5歳","89","0","5","72","88","16","24","1","0","1","2","2","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"6歳","114","0","2","66","56","15","15","2","0","1","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7歳","123","0","2","84","54","16","3","1","1","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"8歳","103","0","1","47","53","13","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","96","0","0","28","38","11","4","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"10〜14歳","256","1","3","65","100","9","6","0","0","2","1","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","47","0","0","3","24","1","0","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","48","0","1","10","57","1","0","0","0","4","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","53","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"70〜79歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","1","0","2"
"合計","1315","30","73","492","908","108","244","16","59","18","10","12","2","0","5","1","1","8","1","0","13","0","0","1","1","1","11","2"
