"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","4","0","0","10","0","26","0","5","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","3","11","1","90","6","283","3","54","1","83","0","8","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","6","29","34","185","16","1075","21","87","0","212","5","20","3","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0"
"2歳","0","1","18","48","126","8","852","24","18","0","179","1","7","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","0","34","68","143","8","595","62","1","0","127","11","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","25","98","133","10","427","67","3","0","97","12","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","1","1","13","109","86","26","270","64","0","2","60","19","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","13","91","77","15","150","36","1","0","45","10","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","14","75","77","15","95","36","0","0","24","17","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","5","54","49","7","43","21","0","1","11","15","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","3","36","49","2","32","18","1","1","10","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","6","64","108","5","42","22","0","5","7","6","1","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","1","0","0","0","24","0","4","0","0","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","4","34","106","3","54","8","0","2","5","3","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","7","15","175","712","1263","121","3948","382","170","12","865","108","52","6","0","36","2","1","10","1","0","0","0","0","0","0","0","0","0"
