"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","2","0","4","7","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","0","2","2","0"
"中央区","2","0","0","2","15","1","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"みなと","5","4","4","16","33","2","0","0","2","0","0","0","0","1","0","0","0","6","0","0","0","0","0","7","5","1","1","1","0"
"新宿区","13","2","0","5","20","15","0","1","1","1","0","0","0","0","0","0","0","2","0","0","1","0","0","9","6","2","2","2","0"
"文京","15","0","1","0","10","2","0","1","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","5","3","1","1","1","0"
"台東","4","0","5","12","26","2","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","5","3","0","0","0","0"
"墨田区","5","1","0","10","22","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","0","1","1","0"
"江東区","14","0","6","19","37","5","0","2","2","0","0","0","0","0","1","0","0","2","0","0","0","0","0","8","3","1","0","0","0"
"品川区","14","1","2","8","67","7","0","3","8","0","0","0","0","2","3","0","0","0","0","0","0","0","0","10","6","0","0","0","0"
"目黒区","1","0","0","1","6","5","0","6","3","0","0","0","0","1","0","1","0","0","0","0","0","0","0","6","3","0","0","0","0"
"大田区","40","17","1","28","59","9","1","8","8","0","0","1","0","4","1","2","0","0","0","0","0","0","0","16","9","1","1","1","0"
"世田谷","27","1","0","9","67","15","2","12","3","0","0","0","0","0","5","0","0","0","1","0","0","0","0","16","8","0","2","2","0"
"渋谷区","3","0","0","4","31","6","0","2","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","6","4","1","0","1","0"
"中野区","19","1","0","16","42","4","0","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","9","6","0","1","1","0"
"杉並","36","1","0","10","64","14","4","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","6","0","1","1","0"
"池袋","8","0","0","1","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","1","1","1","0"
"北区","23","0","1","9","14","9","1","2","6","0","0","0","0","2","1","1","0","0","0","0","0","0","0","8","4","0","0","0","0"
"荒川区","4","1","10","14","18","6","0","0","3","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","2","1","0","0","0"
"板橋区","14","0","0","0","28","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","12","6","0","1","1","0"
"練馬区","29","0","1","9","28","12","0","5","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","12","5","0","0","0","0"
"足立","18","0","0","6","33","5","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","11","4","0","0","0","0"
"葛飾区","16","0","0","9","42","11","0","2","6","0","0","0","0","0","3","0","0","0","0","0","0","0","0","9","4","0","0","1","0"
"江戸川","45","0","0","20","19","9","0","8","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","11","4","0","0","0","0"
"八王子市","21","0","2","12","11","13","0","1","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","8","2","1","1","1","0"
"町田市","20","0","0","14","48","8","0","0","3","0","0","1","0","2","2","0","0","2","0","0","0","0","0","7","2","1","0","0","0"
"西多摩","16","2","0","1","24","7","0","7","1","0","0","0","0","2","0","0","0","0","0","0","1","0","0","9","5","0","1","1","0"
"南多摩","9","3","0","11","34","6","0","7","0","2","0","2","0","1","1","0","0","0","0","0","0","0","0","8","3","0","0","0","0"
"多摩立川","17","0","1","0","19","4","1","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","13","6","1","1","1","0"
"多摩府中","35","0","0","12","48","8","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","9","1","2","3","0"
"多摩小平","24","20","5","14","51","11","1","5","6","0","0","0","0","3","2","2","0","0","0","0","0","0","0","14","6","1","2","2","0"
"島しょ","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","498","56","39","277","927","204","13","87","77","4","0","4","0","33","22","6","0","15","1","0","2","0","0","277","140","14","22","25","0"
