"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","12","2","0"
"1〜4歳","0","0","0","0","0","0","2","3","0"
"5〜9歳","0","0","0","0","0","0","3","1","0"
"10〜14歳","0","0","0","0","0","0","2","0","0"
"15〜19歳","2","0","2","2","0","0","0","0","0"
"20〜24歳","11","3","11","8","0","1","0","1","0"
"25〜29歳","25","5","7","13","0","5","0","0","0"
"30〜34歳","15","6","15","14","0","5","0","0","0"
"35〜39歳","15","10","9","5","0","2","0","0","0"
"40〜44歳","15","10","3","7","0","0","1","0","0"
"45〜49歳","10","4","6","5","0","0","3","0","0"
"50〜54歳","3","6","5","2","0","2","0","0","0"
"55〜59歳","1","7","1","1","0","0","3","0","0"
"60〜64歳","1","4","0","0","0","1","0","0","0"
"65〜69歳","1","2","1","0","0","0","1","0","0"
"70歳以上","0","1","1","0","0","0","18","4","0"
"合計","99","58","61","57","0","16","45","11","0"
