"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","1","0","0","3","1","0","0"
"1〜4歳","0","0","0","0","0","0","5","2","0","0"
"5〜9歳","0","0","0","0","0","0","1","0","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","3","0","0","5","0","0","2","0","0","0"
"20〜24歳","15","0","3","13","0","0","0","0","0","0"
"25〜29歳","21","2","4","12","0","0","0","0","0","0"
"30〜34歳","18","4","7","14","0","2","0","0","0","0"
"35〜39歳","17","8","10","10","0","2","0","0","0","0"
"40〜44歳","5","11","9","10","0","2","1","1","0","0"
"45〜49歳","6","13","7","4","0","0","2","0","0","0"
"50〜54歳","2","4","0","3","0","0","2","0","0","0"
"55〜59歳","2","3","5","2","0","1","0","0","1","0"
"60〜64歳","1","1","2","0","0","0","3","1","0","0"
"65〜69歳","3","2","1","1","0","1","1","0","0","0"
"70歳以上","0","4","0","0","0","0","16","0","0","0"
"合計","93","52","48","75","0","8","37","5","1","0"
