"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","12","5","0","0"
"1〜4歳","0","0","0","0","0","0","8","16","0","0"
"5〜9歳","0","0","0","0","0","0","1","5","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","5","0","4","4","0","0","3","1","0","0"
"20〜24歳","40","9","12","15","2","3","2","0","0","0"
"25〜29歳","45","22","13","15","4","2","4","0","0","0"
"30〜34歳","33","19","12","8","1","0","0","1","0","0"
"35〜39歳","25","15","11","15","3","1","1","0","0","0"
"40〜44歳","20","14","13","5","0","0","2","2","0","0"
"45〜49歳","9","9","6","4","0","1","2","0","0","0"
"50〜54歳","1","8","3","2","0","0","3","0","0","0"
"55〜59歳","2","4","2","0","1","2","6","0","0","0"
"60〜64歳","7","6","1","0","0","0","2","2","0","0"
"65〜69歳","0","1","1","0","0","0","4","1","0","0"
"70歳以上","0","7","0","0","1","0","47","14","0","0"
"合計","187","114","78","68","12","9","98","47","0","0"
