"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","2","0","0","21","2","0","0","2","0","0","0","1","0","0","0","0","0","0","0"
"〜1歳","1","1","0","0","134","7","3","0","36","0","2","2","2","1","0","1","0","0","0","0"
"1歳","0","3","9","5","252","50","17","3","41","0","11","4","4","1","0","1","0","0","0","0"
"2歳","1","1","7","15","138","42","9","8","7","0","7","6","0","0","0","1","0","0","3","0"
"3歳","1","0","10","22","150","47","3","7","3","0","2","13","3","0","1","0","0","0","2","0"
"4歳","1","0","0","27","125","35","4","11","0","0","2","10","1","0","0","0","0","0","3","0"
"5歳","0","0","5","36","127","25","2","10","0","0","0","13","1","0","0","0","0","0","1","0"
"6歳","0","0","0","34","82","11","0","13","0","0","0","12","0","0","0","0","0","0","0","0"
"7歳","8","0","0","27","80","5","0","10","0","0","0","10","1","0","0","0","0","0","0","0"
"8歳","0","0","1","21","68","7","0","4","0","1","0","6","0","0","0","0","0","0","0","0"
"9歳","0","0","0","11","41","8","1","6","0","0","1","6","0","0","0","0","0","0","0","0"
"10〜14歳","3","0","2","23","100","4","0","7","0","3","1","7","1","0","0","0","0","1","0","0"
"15〜19歳","4","0","0","3","15","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0"
"20〜29歳","3","0","2","8","135","0","2","1","0","3","1","7","0","0","0","3","0","0","0","0"
"30〜39歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","27","7","36","232","1468","243","41","80","89","7","27","99","14","2","1","19","0","1","9","0"
