"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","32","35","17","22","0","0","7","0","2","",""
"区南部","8","2","1","8","0","0","1","0","0","",""
"区西南部","42","25","25","54","0","0","2","2","0","",""
"区西部","32","13","32","22","0","0","11","3","0","",""
"区西北部","16","4","5","12","0","0","2","1","2","",""
"区東北部","0","0","0","0","0","0","2","2","0","",""
"区東部","13","5","3","11","0","0","4","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","6","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","8","0","0","",""
"北多摩北部","0","0","0","0","0","0","3","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","143","84","83","129","0","0","46","8","4","",""
