"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","24","86","17","3","7","52","5","7","0","3","39","1","2","0","0","1","0","0","0","0","0","0","","","","","",""
"区南部","42","67","30","4","15","77","1","2","1","5","81","1","2","0","0","0","0","0","0","0","0","1","","","","","",""
"区西南部","18","131","33","3","25","57","1","5","0","1","86","0","1","0","0","1","0","1","0","0","0","1","","","","","",""
"区西部","7","114","22","4","14","43","1","9","2","2","39","1","1","1","0","1","0","0","0","0","0","0","","","","","",""
"区西北部","36","198","34","7","18","80","3","10","0","4","73","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","11","120","37","2","8","90","2","7","1","6","79","2","2","1","0","0","0","0","0","0","0","0","","","","","",""
"区東部","20","136","38","4","17","75","1","6","0","4","60","1","5","0","0","0","1","0","0","0","0","0","","","","","",""
"西多摩","9","23","5","2","2","16","0","1","0","2","12","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","12","132","25","11","22","154","2","18","3","3","107","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","7","45","24","1","18","37","0","7","0","1","34","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","20","91","20","2","13","66","5","8","1","4","82","1","3","1","0","3","0","0","0","0","0","0","","","","","",""
"北多摩北部","39","72","21","9","18","59","3","5","1","4","79","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","245","1228","307","52","177","806","24","85","9","39","771","8","19","3","0","7","1","1","0","0","0","2","","","","","",""
