"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","1","1","0","0"
"1〜4歳","0","0","0","0","0","0","1","5","0","0"
"5〜9歳","0","0","0","0","0","0","2","1","0","0"
"10〜14歳","0","0","0","0","0","0","0","1","0","0"
"15〜19歳","2","0","2","3","0","0","1","0","0","0"
"20〜24歳","7","1","4","9","0","2","0","0","0","0"
"25〜29歳","21","4","7","16","0","2","0","0","0","0"
"30〜34歳","27","18","8","16","0","2","0","0","0","0"
"35〜39歳","14","10","13","10","0","2","0","0","0","0"
"40〜44歳","8","9","2","10","0","0","2","0","0","0"
"45〜49歳","9","11","2","3","0","1","0","0","0","0"
"50〜54歳","3","7","1","5","0","0","1","0","1","0"
"55〜59歳","2","2","1","2","0","1","1","0","0","0"
"60〜64歳","2","2","0","0","0","1","2","2","0","0"
"65〜69歳","0","0","1","0","0","0","6","4","0","0"
"70歳以上","0","2","1","0","0","0","28","6","0","0"
"合計","95","66","42","74","0","11","45","20","1","0"
