"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","93","99","192","55"
"性器ヘルペスウイルス感染症","39","26","65","55"
"尖圭コンジローマ","38","16","54","55"
"淋菌感染症","63","15","78","55"
"膣トリコモナス症","1","14","15","55"
"梅毒様疾患","3","1","4","55"
"メチシリン耐性黄色ブドウ球菌感染症","76","49","125","24"
"ペニシリン耐性肺炎球菌感染症","38","18","56","24"
"薬剤耐性緑膿菌感染症","2","1","3","24"
