"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","1","0","0","0","6","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","1","0","0","48","8","0","0","29","0","0","0","0","0","0","0","0","0","0","0"
"1歳","6","1","0","3","87","12","1","0","22","0","1","0","5","2","0","0","0","0","0","0"
"2歳","0","0","2","6","56","14","0","2","4","0","0","4","1","0","0","0","0","0","1","0"
"3歳","3","1","1","9","49","16","0","3","0","0","1","2","1","0","0","0","0","0","0","0"
"4歳","5","0","0","12","43","11","0","4","0","0","0","4","0","0","1","0","0","0","0","0"
"5歳","1","0","1","24","29","3","0","1","0","0","0","8","1","0","0","0","0","0","0","0"
"6歳","2","0","1","16","21","6","2","0","0","0","0","5","0","0","0","0","0","0","1","0"
"7歳","3","0","0","21","27","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"8歳","2","0","0","10","27","2","0","1","0","0","0","5","0","0","0","0","0","0","0","0"
"9歳","0","0","0","7","18","1","0","1","0","0","0","3","0","0","0","0","0","0","1","0"
"10〜14歳","3","0","2","17","20","0","0","1","0","1","0","5","0","0","0","0","0","0","0","0"
"15〜19歳","3","0","0","3","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","2","1","1","8","88","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"30〜39歳","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"40〜49歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","51","4","8","136","528","75","3","13","58","2","2","37","9","2","1","2","0","0","4","0"
